id;name;code;abr
1;Afar;aa;\N
2;Abkhazian;ab;\N
3;Afrikaans;af;\N
4;Akan;ak;\N
5;Alemannic;als;\N
6;Amharic;am;\N
7;Aragonese;an;\N
8;Anglo-Saxon;ang;\N
9;Arabic;ar;\N
10;Assamese;as;\N
11;Asturian;ast;\N
12;Avar;av;\N
13;Aymar;ay;\N
14;Azerbaijani;az;\N
15;Belarusian;be;\N
16;Bulgarian;bg;\N
17;Bihari;bh;\N
18;Bislama;bi;\N
19;Bambara;bm;\N
20;Bengali;bn;\N
21;Tibetan;bo;\N
22;Breton;br;\N
23;Bosnian;bs;\N
24;Catalan;ca;\N
25;Chamorro;cha;\N
26;Cherokee;chr;\N
27;Corsican;co;\N
28;Cree;cr;\N
29;Czech;cs;\N
30;Kashubian;csb;\N
31;Welsh;cy;\N
32;Danish;da;\N
33;German;de;\N
34;Divehi;di;\N
35;Dzongkha;dz;\N
36;Greek;el;\N
37;English;en;\N
38;Esperanto;eo;\N
39;Spanish;es;\N
40;Estonian;et;\N
41;Basque;eu;\N
42;Persian;fa;\N
43;Finnish;fi;\N
44;Fijian;fj;\N
45;Faroese;fo;\N
46;French;fr;\N
47;West Frisian;fy;\N
48;Gaelic;gd;\N
49;Galician;gl;\N
50;Guarani;gn;\N
51;Gujarati;gu;\N
52;Manx;gv;\N
53;Hausa;ha;\N
54;Hebrew;he;\N
55;Hindi;hi;\N
56;Croatian;hr;\N
57;Upper Sorbian;hsb;\N
58;Hungarian;hu;\N
59;Armenian;hy;\N
60;Interlingua;ia;\N
61;Indonesian;id;\N
62;Interlingue;ie;\N
63;Inupiak;ik;\N
64;Ido;io;\N
65;Irish;iri;\N
66;Icelandic;is;\N
67;Italian;it;\N
68;Inuktitut;iu;\N
69;Japanese;ja;\N
70;Lojban;jbo;\N
71;Javenese;jv;\N
72;Georgian;ka;\N
73;Kazakh;kk;\N
74;Greenlandic;kl;\N
75;Cambodian;km;\N
76;Kannada;kn;\N
77;Korean;ko;\N
78;Kashmiri;ks;\N
79;Kurdish;ku;\N
80;Cornish;kw;\N
81;Kirghiz;ky;\N
82;Latin;la;\N
83;Luxembourgish;lb;\N
84;Limburgian;li;\N
85;Lingala;ln;\N
86;Lao;lo;\N
87;Lithuanian;lt;\N
88;Latvian;lv;\N
89;Malagasy;mg;\N
90;Marshallese;mh;\N
91;Maori;mi;\N
92;Macedonian;mk;\N
93;Malayalam;ml;\N
94;Mongolian;mn;\N
95;Moldovan;mo;\N
96;Marathi;mr;\N
97;Malay;ms;\N
98;Burmese;my;\N
99;Nauruan;na;\N
100;Nahuatl;nah;\N
101;Norwegian Bokm�l;nb;\N
102;Low Saxon;nds;\N
103;Nepali;ne;\N
104;Dutch;nl;\N
105;Norwegian Nynorsk;nn;\N
106;Norwegian;no;\N
107;Occitan;oc;\N
108;Oromo;om;\N
109;Oriya;or;\N
110;Panjabi;pa;\N
111;Pali;pi;\N
112;Polish;pl;\N
113;Western Panjabi;pnb;\N
114;Pashto;ps;\N
115;Portuguese;pt;\N
116;Quechua;qu;\N
117;Raeto Romance;rm;\N
118;Kirundi;rn;\N
119;Romanian;ro;\N
120;Aromanian;roa;\N
121;Russian;ru;\N
122;Rwandi;rw;\N
123;Sanskrit;sa;\N
124;Sardinian;sc;\N
125;Sicilian;scn;\N
126;Sindhi;sd;\N
127;Sango;sg;\N
128;Serbo-Croatian;sh;\N
129;Sinhalese;si;\N
130;Slovak;sk;\N
131;Slovenian;sl;\N
132;Samoan;sm;\N
133;Shona;sn;\N
134;Somali;so;\N
135;Albanian;SQ;\N
136;Serbian;sr;\N
137;Swati;ss;\N
138;Southern Sotho;ST;\N
139;Sundanese;su;\N
140;Swedish;sv;\N
141;Swahili;sw;\N
142;Tamil;ta;\N
143;Telugu;te;\N
144;Tajik;TG;\N
145;Thai;th;\N
146;Tigrinya;ti;\N
147;Turkmen;tk;\N
148;Tagalog;tl;\N
149;Setswana;tn;\N
150;Tonga;to;\N
151;Tok Pisin;tpi;\N
152;Turkish;tr;\N
153;Tsonga;ts;\N
154;Tatar;tt;\N
155;Twi;tw;\N
156;Uyghur;ug;\N
157;Ukrainian;uk;\N
158;Urdu;ur;\N
159;Uzbek;uz;\N
160;Vietnamese;vi;\N
161;Volap�k;vo;\N
162;Walloon;wa;\N
163;Wolof;wo;\N
