name;abr
Ghotuo;alv-yek
Alumu-Tesu;nic-alu
Ari;paa-pag
Amal;paa-iwm
Aranadan;dra-mal
Ambrak;qfa-tor
Abu';qfa-tor
Arifama-Miniafia;poz-ocw
Ankave;ngf
Afade;cdc-cbm
Anambé;tup-gua
Pará Arára;sai-pek
Penobscot;alg-abp
Aasax;cus-sou
Abau;paa-spk
Solong;poz-ocw
Mandobo Atas;ngf
Amarasi;poz-tim
Abé;alv-lag
Bankon;bnt-bsa
Ambala Ayta;phi
Camarines Norte Agta;phi
Abenaki;alg-abp
Abai Sungai;poz-san
Abaga;paa-kag
Tajiki Arabic;sem-arb
Abidji;alv-lag
Aka-Bea;qfa-ads
Abung;poz-lgx
Abanyom;nic-eko
Abua;nic-cde
Abon;nic-tvn
Abenlen Ayta;phi
Abaza;cau-abz
Abron;alv-ctn
Ambonese Malay;crp
Ambulas;paa-spk
Abure;alv-ptn
Baharna Arabic;sem-arb
Pal;ngf-mad
Inabaknon;poz-sbj
Aneme Wake;ngf
Abui;qfa-tap
Achagua;awd
Áncá;nic-mom
Gikyode;alv-gng
Acehnese;cmc
Acholi;sdv-los
Aka-Cari;qfa-adn
Aka-Kora;qfa-adn
Akar-Bale;qfa-ads
Iraqi Arabic;sem-arb
Achang;tbq-brm
Eastern Acipa;nic-kmk
Achi;myn
Acroá;sai-cje
Achuar;sai-jiv
Achumawi;nai-pal
Hijazi Arabic;sem-arb
Omani Arabic;sem-arb
Cypriot Arabic;sem-arb
Acheron;alv-tal
Adangme;alv-gda
Dzodinka;nic-nka
Adele;alv-ntg
Dhofari Arabic;sem-arb
Andegerebinha;aus-pam
Adhola;sdv-los
Adi;sit-tan
Adioukrou;alv-lag
Galo;sit-tan
Adang;qfa-tap
Abu;paa-ram
Adap;sit-tib
Adangbe;alv-gda
Adonara;poz-cet
Adamorobe Sign Language;sgn
Adnyamathanha;aus-psw
Aduge;alv-nwd
Amondawa;tup-gua
Adyghe;cau-cir
Adzera;poz-ocw
Areba;aus-pam
Tunisian Arabic;sem-arb
Argentine Sign Language;sgn
Northeast Pashayi;inc-pas
Haeke;poz-cln
Ambele;nic-grf
Arem;mkh-vie
Aer;inc-wes
Eastern Arrernte;aus-pam
Akeu;tbq-sil
Ambakich;paa-ram
Amele;ngf-mad
Aeka;ngf
Gulf Arabic;sem-arb
Andai;paa-arf
Putukwam;nic-ben
Afrihili;art
Akrukay;paa-ram
Nanubae;paa-arf
Defaka;nic
Eloyi;nic-plt
Tapei;paa-arf
Afro-Seminole Creole;crp
Afitti;sdv-nyi
Awutu;alv-gng
Obokuitai;paa-lkp
Legbo;nic-uce
Agatu;alv-ido
Agarabi;paa-kag
Angal;paa-eng
Arguni;poz-cet
Angor;paa
Ngelima;bnt-bta
Agariya;mun
Argobba;sem-eth
Isarog Agta;phi
Fembe;ngf
Angaataha;ngf
Agutaynen;phi-kal
Tainae;ngf
Aghem;nic-rnw
Aguaruna;sai-jiv
Esimbi;nic-bds
Central Cagayan Agta;phi
Aguacateca;myn
Remontado Agta;phi
Kahua;poz-sls
Aghul;cau-esm
Southern Alta;phi
Mount Iriga Agta;phi
Ahanta;alv-ctn
Axamb;poz-vnc
Qimant;cus-cen
Aghu;ngf
Tiagbamrin Aizi;kro-aiz
Akha;tbq-han
Igo;alv-ktg
Mobumrin Aizi;kro-aiz
Àhàn;alv-aah
Ahom;tai-swe
Aproumu Aizi;alv-kwa
Ahirani;raj
Ashe;nic-plc
Ahtna;ath-nor
Arosi;poz-sls
Äynu;qfa-mix
Ainbai;paa-brd
Alngith;aus-pmn
Amara;poz-ocw
Agi;qfa-tor
Antigua and Barbuda Creole English;crp
Ai-Cham;qfa-kms
Assyrian Neo-Aramaic;sem-nna
Lishanid Noshan;sem-nna
Ake;nic-pls
Aimele;ngf
Aimol;tbq-kuk
Ainu;qfa-ain
Aiton;tai-swe
Burumakok;ngf-okk
Airoran;paa-tkw
Arikem;tup
Aari;omv-aro
Aighon;poz-ocw
Ali;gba-eas
Aja;csu-bkr
Adja;alv-gbe
Ajië;poz-cln
Andajin;aus-wor
South Levantine Arabic;sem-arb
Ajawa;cdc-wst
Amri Karbi;tbq-kuk
Angkola Batak;btk
Mpur;paa-wpa
Ukpet-Ehom;nic-ucr
Akawaio;sai-pem
Akpa;alv-ido
Anakalangu;poz-cet
Angal Heneng;paa-eng
Aiome;paa
Jeru;qfa-adn
Akkadian;sem-eas
Aklanon;phi
Aka-Bo;qfa-adn
Akurio;sai-tar
Siwu;alv-ntg
Ak;paa
Araki;poz-vnn
Akaselem;nic-grm
Akolet;poz-ocw
Akum;nic-ykb
Akhvakh;cau-and
Akwa;bnt-mbo
Aka-Kede;qfa-adc
Aka-Kol;qfa-adc
Alabama;nai-mus
Alago;alv-ido
Kawésqar;aqa
Alladian;alv-lag
Aleut;esx
Alege;nic-ben
Alawa;aus-gun
Amaimon;ngf-mad
Alangan;phi
Alak;mkh
Allar;dra-mal
Amblong;poz-vnn
Larike-Wakasihu;poz-cma
Alune;poz-cet
Algonquin;alg
Alutor;qfa-ckn
Southern Altai;trk-kkp
'Are'are;poz-sls
Alaba;cus-hec
Amol;qfa-tor
Alyawarr;aus-pam
Alur;sdv-los
Amanayé;tup-gua
Ambo;nic-tvn
Amahuaca;sai-pan
Yanesha';awd
Hamer-Banna;omv-aro
Amurdag;aus-wdj
Amis;map
Amdang;ssa-fur
Ambai;poz-hce
War-Jaintia;aav-khs
Ama;qfa-mal
Amanab;paa-brd
Amo;nic-kne
Alamblak;paa
Amahai;poz-cma
Amarakaeri;sai-har
Southern Amami Ōshima;jpx-nry
Amto;paa-asa
Guerrero Amuzgo;omq
Ambelau;poz-cma
Western Neo-Aramaic;sem-arw
Anmatyerre;aus-pam
Ami;aus-dal
Atampaya;aus-pam
Andoa;sai-zap
Ngas;cdc-wst
Ansus;poz-hce
Xârâcùù;poz-cln
Animere;alv-ktg
Old English;gmw-ang
Nend;ngf-mad
Andi;cau-and
Anor;paa
Goemai;cdc-wst
Anu;sit-mru
Anāl;tbq-kuk
Obolo;nic-lcr
Andoque;qfa-iso
Angika;inc-bih
Jarawa;qfa-ong
Andh;inc-sou
Anserma;sai-chc
Antakarinya;aus-psw
Anuak;sdv-lon
Denya;nic-mam
Anaang;nic-ief
Andra-Hus;poz-aay
Anyi;alv-ctn
Anem;paa
Angolar;crp
Abom;ngf
Pemon;sai-pem
Andarum;paa
Angal Enen;paa-eng
Bragat;qfa-tor
Angoram;paa-lsp
Anindilyakwa;aus-arn
Mufian;qfa-tor
Arhö;poz-cln
Alorese;poz
Ömie;ngf
Bumbita Arapesh;qfa-tor
Aore;poz-vnn
Taikat;paa-brd
Atong (India);tbq-bdg
A'ou;gio
Atorada;awd
Uab Meto;poz-tim
Sa'a;poz-sls
North Levantine Arabic;sem-arb
Sudanese Arabic;sem-arb
Bukiyip;qfa-tor
Pahanan Agta;phi
Ampanang;poz
Athpare;sit-kie
Apiaká;tup-gua
Jicarilla;apa
Plains Apache;apa
Lipan;apa
Chiricahua;apa
Apinayé;sai-nje
Ambul;poz-ocw
Apma;poz-vnn
A-Pucikwar;qfa-adc
Arop-Lokep;poz-ocw
Arop-Sissano;poz-ocw
Apatani;sit-tan
Apurinã;awd
Alapmunte;sai-nmk
Western Apache;apa
Aputai;poz-tim
Apalaí;sai-gui
Safeyoka;ngf
Archi;cau-lzg
Ampari Dogon;nic-dgw
Arigidi;alv-von
Atohwaim;ngf
Northern Alta;phi
Atakapa;qfa-iso
Arhâ;poz-cln
Angaité;sai-mas
Akuntsu;tup
Aramaic;sem-ara
Arabana;aus-kar
Western Arrernte;aus-pam
Arhuaco;cba
Arikara;cdd
Arapaso;sai-tuc
Arikapú;sai-mje
Arabela;sai-zap
Mapudungun;sai-ara
Araona;sai-tac
Arapaho;alg-ara
Algerian Arabic;sem-arb
Arara-Karo;tup
Najdi Arabic;sem-arb
Arua;auf
Arbore;cus-eas
Lokono;awd-taa
Aruá;tup
Moroccan Arabic;sem-arb
Egyptian Arabic;sem-arb
Pare;bnt-par
