name;abr 
'Are'are;poz-sls
ǃXóõ;khi-tuu
Àhàn;alv-aah
ǀXam;khi-tuu
ǂHoan;khi-kxa
Ömie;ngf
Önge;qfa-ong
ǁAni;khi-kal
ǁGana;khi-kal
Áncá;nic-mom
ǁXegwi;khi-tuu
Äiwoo;poz-tem
Äynu;qfa-mix
A'ou;gio
A-Hmao;hmn
A-Pucikwar;qfa-adc
Aari;omv-aro
Aasax;cus-sou
Abé;alv-lag
Aba;poz-tem
Abaga;paa-kag
Abai Sungai;poz-san
Abanyom;nic-eko
Abau;paa-spk
Abaza;cau-abz
Abenaki;alg-abp
Abenlen Ayta;phi
Abidji;alv-lag
Abinomn;qfa-iso
Abipón;sai-guc
Abishira;qfa-iso
Abkhaz;ab
Abom;ngf
Abon;nic-tvn
Abron;alv-ctn
Abu';qfa-tor
Abu;paa-ram
Abua;nic-cde
Abui;qfa-tap
Abun;paa
Abung;poz-lgx
Abure;alv-ptn
Abureni;nic-cde
Acatepec Me'phaa;omq
Acehnese;cmc
Aché;tup
Achagua;awd
Achang;tbq-brm
Acheron;alv-tal
Achi;myn
Acholi;sdv-los
Achuar;sai-jiv
Achumawi;nai-pal
Acroá;sai-cje
Adamorobe Sign Language;sgn
Adang;qfa-tap
Adangbe;alv-gda
Adangme;alv-gda
Adap;sit-tib
Adele;alv-ntg
Adhola;sdv-los
Adi;sit-tan
Adioukrou;alv-lag
Adithinngithigh;aus-pmn
Adivasi Odia;inc-eas
Adiwasi Garasia;inc-bhi
Adja;alv-gbe
Adnyamathanha;aus-psw
Adonara;poz-cet
Aduge;alv-nwd
Adyghe;cau-cir
Adzera;poz-ocw
Aeka;ngf
Aekyom;ngf
Aequian;itc
Aer;inc-wes
Afade;cdc-cbm
Afar;aa
Afitti;sdv-nyi
Afrihili;art
Afrikaans;af
Afro-Seminole Creole;crp
Agarabi;paa-kag
Agariya;mun
Agatu;alv-ido
Agavotaguerra;awd
Aghem;nic-rnw
Aghu Tharrnggala;aus-pmn
Aghu;ngf
Aghul;cau-esm
Aghwan;cau-esm
Agi;qfa-tor
Agoi;nic-ucr
Aguacateca;myn
Aguaruna;sai-jiv
Aguna;alv-gbe
Agusan Manobo;mno
Agutaynen;phi-kal
Agwagwune;nic-ucn
Ahanta;alv-ctn
Ahirani;raj
Ahom;tai-swe
Ahtna;ath-nor
Ahwai;nic-plt
Ai-Cham;qfa-kms
Aighon;poz-ocw
Aikanã;qfa-iso
Aiklep;poz-ocw
Aimele;ngf
Aimol;tbq-kuk
Ainbai;paa-brd
Ainu;qfa-ain
Aiome;paa
Airoran;paa-tkw
Aisi;ngf-mad
Aiton;tai-swe
Aja;csu-bkr
Ajawa;cdc-wst
Ajië;poz-cln
Ajyíninka Apurucayali;awd
Ak;paa
Aka-Bea;qfa-ads
Aka-Bo;qfa-adn
Aka-Cari;qfa-adn
Aka-Kede;qfa-adc
Aka-Kol;qfa-adc
Aka-Kora;qfa-adn
Aka (Central Africa);bnt-ngn
Aka (Sudan);sdv-eje
Akan;ak
Akar-Bale;qfa-ads
Akaselem;nic-grm
Akatek;myn
Akawaio;sai-pem
Ake;nic-pls
Akebu;alv-ktg
Akei;poz-vnn
Akeu;tbq-sil
Akha;tbq-han
Akhvakh;cau-and
Akkadian;sem-eas
Akkala Sami;smi
Aklanon;phi
Akolet;poz-ocw
Akoose;bnt-mne
Akoye;ngf
Akpa;alv-ido
Akpes;alv-von
Akrukay;paa-ram
Akuku;alv-nwd
Akum;nic-ykb
Akuntsu;tup
Akurio;sai-tar
Akuwagel;qfa-tor
Akwa;bnt-mbo
Alaba;cus-hec
Alabama;nai-mus
Alabat Island Agta;phi
Alacatlatzala Mixtec;omq-mxt
Alago;alv-ido
Alagwa;cus-sou
Alak;mkh
Alamblak;paa
Alangan;phi
Alanic;xsc-sar
Alapmunte;sai-nmk
Alas-Kluet Batak;btk
Alawa;aus-gun
Albanian;sq
Alcozauca Mixtec;omq-mxt
Alege;nic-ben
Alekano;paa-kag
Alemannic German;gmw-hgm
Aleut;esx
Algerian Arabic;sem-arb
Algonquin;alg
Ali;gba-eas
Alladian;alv-lag
Allar;dra-mal
Alngith;aus-pmn
Aloápam Zapotec;omq-zap
Alorese;poz
Alu Kurumba;dra-kan
Alu;poz-ocw
Alugu;tbq-urp
Alumu-Tesu;nic-alu
Alune;poz-cet
Alur;sdv-los
Alutiiq;ypk
Alutor;qfa-ckn
Alviri-Vidari;xme
Alyawarr;aus-pam
Ama;qfa-mal
Amahai;poz-cma
Amahuaca;sai-pan
Amaimon;ngf-mad
Amal;paa-iwm
Amanab;paa-brd
Amanayé;tup-gua
Amara;poz-ocw
Amarakaeri;sai-har
Amarasi;poz-tim
Amatlán Zapotec;omq-zpc
Amba;bnt-kbi
Ambai;poz-hce
Ambakich;paa-ram
Ambala Ayta;phi
Ambelau;poz-cma
Ambele;nic-grf
Amblong;poz-vnn
Ambo;nic-tvn
Ambonese Malay;crp
Ambrak;qfa-tor
Ambul;poz-ocw
Ambulas;paa-spk
Amdang;ssa-fur
Amele;ngf-mad
American Sign Language;sgn
Amganad Ifugao;phi
Amharic;am
Ami;aus-dal
Amis;map
Amo;nic-kne
Amol;qfa-tor
Amoltepec Mixtec;omq-mxt
Amondawa;tup-gua
Ampanang;poz
Ampari Dogon;nic-dgw
Amri Karbi;tbq-kuk
Amto;paa-asa
Amurdag;aus-wdj
Anāl;tbq-kuk
Ana Tinga Dogon;qfa-dgn
Anaang;nic-ief
Anakalangu;poz-cet
Anam;ngf-mad
Anambé;tup-gua
Anasi;paa-egb
Ancient Greek;grk
Ancient Ligurian;ine
Ancient Macedonian;grk
Ancient North Arabian;sem-cen
Andai;paa-arf
Andajin;aus-wor
Andalusian Arabic;sem-arb
Andaman Creole Hindi;crp
Andarum;paa
Andegerebinha;aus-pam
Andh;inc-sou
Andi;cau-and
Andio;poz-slb
Andoa;sai-zap
Andoque;qfa-iso
Andra-Hus;poz-aay
Aneityum;poz-vns
Anem;paa
Aneme Wake;ngf
Angaataha;ngf
Angaité;sai-mas
Angal Enen;paa-eng
Angal Heneng;paa-eng
Angal;paa-eng
Angami;tbq-anp
Angguruk Yali;ngf
Angika;inc-bih
Angkamuthi;aus-pmn
Angkola Batak;btk
Angloromani;qfa-mix
Angolar;crp
Angor;paa
Angoram;paa-lsp
Anguthimri;aus-pam
Anii;alv-ntg
Animere;alv-ktg
Anindilyakwa;aus-arn
Anjam;ngf-mad
Ankave;ngf
Anmatyerre;aus-pam
Annobonese;crp
Anong;sit-nng
Anor;paa
Anserma;sai-chc
Ansus;poz-hce
Antakarinya;aus-psw
Antigua and Barbuda Creole English;crp
Antillean Creole;crp
Anu;sit-mru
Anuak;sdv-lon
Anufo;alv-ctn
Anuki;poz-ocw
Anus;poz-ocw
Anuta;poz-pnp
Anyi;alv-ctn
Anyin Morofo;alv-ctn
Ao;sit-aao
Aoheng;poz
Aore;poz-vnn
Apalaí;sai-gui
Apalachee;nai-mus
Apali;ngf-mad
Apasco-Apoala Mixtec;omq-mxt
Apatani;sit-tan
Apiaká;tup-gua
Apinayé;sai-nje
Apma;poz-vnn
Aproumu Aizi;alv-kwa
Apurinã;awd
Aputai;poz-tim
Aquitanian;euq
Arabana;aus-kar
Arabela;sai-zap
Arabic;ar
Aragonese;an
Araki;poz-vnn
Arakwal;aus-pam
Aralle-Tabulahan;poz-ssw
Aramaic;sem-ara
Arammba;ngf
Aranadan;dra-mal
Arandai;ngf
Araona;sai-tac
Arapaho;alg-ara
Arapaso;sai-tuc
Arara-Karo;tup
Ararandewára;tup-gua
Araweté;tup-gua
Arawum;ngf-mad
Arbore;cus-eas
Archi;cau-lzg
Are;poz-ocw
Areba;aus-pam
Arem;mkh-vie
Argentine Sign Language;sgn
Argobba;sem-eth
Arguni;poz-cet
Arhö;poz-cln
Arhâ;poz-cln
Arhuaco;cba
Ari;paa-pag
Aribwatsa;poz-ocw
Aribwaung;poz-ocw
Arifama-Miniafia;poz-ocw
Arigidi;alv-von
Arikapú;sai-mje
Arikara;cdd
Arikem;tup
Arin;qfa-yso
Aringa;csu-mma
Armenian;hy
Aromanian;roa-eas
Arop-Lokep;poz-ocw
Arop-Sissano;poz-ocw
Arosi;poz-sls
Arta;phi
Aruá;tup
Arua;auf
Aruamu;paa
Aruek;qfa-tor
Aruop;qfa-tor
As;poz-hce
Asaro'o;ngf-fin
Ashéninka Pajonal;awd
Ashéninka Perené;awd
Asháninka;awd
Ashe;nic-plc
Ashkun;nur-sou
Asi;phi
Asilulu;poz-cma
Askopan;paa-nbo
Asoa;csu-maa
Assamese;as
Assan;qfa-yso
Assiniboine;sio-dkt
Assyrian Neo-Aramaic;sem-nna
Asturian;roa-asl
Asu;alv-ngb
Asumboa;poz-tem
Asunción Mixtepec Zapotec;omq-zap
Asuri;mun
Ata Manobo;mno
Ata;phi
Atakapa;qfa-iso
Atampaya;aus-pam
Atatláhuca Mixtec;omq-mxt
Atayal;map-ata
Atemble;ngf-mad
Ateso;sdv-ttu
Athpare;sit-kie
Ati;phi
Atikamekw;alg
Atohwaim;ngf
Atong (Cameroon);nic-grs
Atong (India);tbq-bdg
Atorada;awd
Atsahuaca;sai-pan
Atsam;nic-kne
Atsugewi;nai-pal
Attapady Kurumba;dra-imd
Attié;alv-lag
Au;qfa-tor
Auhelawa;poz-ocw
Aukan;crp
Aulua;poz-vnc
Aurá;tup-gua
Aushi;bnt-sbi
Aushiri;sai-zap
Auslan;sgn
Austral;poz-pep
Australian Aboriginal Sign Language;sgn
Australian Kriol;crp
Austrian Sign Language;sgn
Austronesian Mari;poz-ocw
Auwe;paa-brd
Auyana;paa-kag
Auye;ngf
Auyokawa;cdc-wst
Avá-Canoeiro;tup-gua
Avar;av
Avatime;alv-ktg
Avau;poz-ocw
Avava;poz-vnc
Avestan;ae
Avikam;alv-lag
Avokaya;csu-mma
Awa-Cuaiquer;sai-bar
Awa (China);mkh-pal
Awa (New Guinea);paa-kag
Awabakal;aus-pam
Awadhi;inc-hie
Awak;alv-wjk
Awar;paa
Awara;ngf-fin
Awbono;ngf
Aweer;cus-som
Awera;paa-lkp
Awetí;tup
Awing;nic-nge
Awjila;ber
Awngi;cus-cen
Awngthim;aus-pmn
Awtuw;paa-spk
Awun;paa-spk
Awutu;alv-gng
Awyi;paa-brd
Axamb;poz-vnc
Ayabadhu;aus-pmn
Ayere;alv-aah
Ayerrerenge;aus-pam
Ayi;paa-spk
Ayizo;alv-pph
Aymara;ay
Ayoquesco Zapotec;omq-zpc
Ayoreo;sai-zam
Ayu;alv
Ayutla Mixtec;omq-mxt
Azeri;az
Azha;tbq-axi
Azoyú Me'phaa;omq
Baagandji;aus-pam
Baan;nic-ogo
Baangi;nic-kam
Baatonum;alv-sav
Baba Malay;crp
Baba;nic-nun
Babango;bnt-bta
Babanki;nic-rnc
Babatana;poz-ocw
Babine-Witsuwit'en;ath-nor
Babole;bnt-ngn
Babungo;nic-rnn
Babuza;map
Bacama;cdc-cbm
Bacanese Malay;poz-mly
Bactrian;ira-sbc
Bada;poz-kal
Badaga;dra-kan
Badanchi;nic-jrw
Bade;cdc-wst
Badeshi;iir
Badimaya;aus-psw
Baduy;poz-msa
Badyara;alv-ten
Baeggu;poz-sls
Baekje;qfa-kor
Baelelea;poz-sls
Baetora;poz-vnn
Bafanji;nic-nun
Bafaw;bnt-bbo
Bafia;bnt-baf
Bafut;nic-nge
Baga Kaloum;alv-bag
Baga Koga;alv-bag
Baga Manduri;alv-bag
Baga Pokur;alv-nal
Baga Sitemu;alv-bag
Baga Sobané;alv-bag
Bagheli;inc-hie
Bagirmi;csu-bgr
Bagri;raj
Bagupi;ngf-mad
Bagusa;paa-tkw
Bagvalal;cau-and
Baham;paa
Bahamian Creole;crp
Baharna Arabic;sem-arb
Bahau;poz
Bahinemo;paa-spk
Bahing;sit-kiw
Bahnar;mkh-ban
Bahonsuai;poz-btk
Bai;nic-ser
Baibai;paa
Baikeno;poz-tim
Baimak;ngf-mad
Bainouk-Gunyaamolo;alv-bny
Bainouk-Gunyuño;alv-bny
Bainouk-Samik;alv-bny
Baiso;cus-som
Baissa Fali;nic-bco
Bajan;crp
Bajelani;ira-zgr
Bajjika;inc-bih
Baka;nic-nkb
Bakairí;sai-pek
Bakaka;bnt-mne
Bakhtiari;ira-swi
Baki;poz-vnc
