name;abr
Afar;aa
Abkhaz;ab
Avestan;ae
Afrikaans;af
Akan;ak
Amharic;am
Aragonese;an
Arabic;ar
Assamese;as
Avar;av
Aymara;ay
Azeri;az
Bashkir;ba
Belarusian;be
Bulgarian;bg
Bihari;bh
Bislama;bi
Bambara;bm
Bengali;bn
Tibetan;bo
Breton;br
Catalan;ca
Chechen;ce
Chamorro;ch
Corsican;co
Cree;cr
Czech;cs
Old Church Slavonic;cu
Chuvash;cv
Welsh;cy
Danish;da
German;de
Dhivehi;dv
Dzongkha;dz
Ewe;ee
Greek;el
English;en
Esperanto;eo
Spanish;es
Estonian;et
Basque;eu
Persian;fa
Fula;ff
Finnish;fi
Fijian;fj
Faroese;fo
French;fr
West Frisian;fy
Irish;ga
Scottish Gaelic;gd
Galician;gl
Guaraní;gn
Gujarati;gu
Manx;gv
Hausa;ha
Hebrew;he
Hindi;hi
Hiri Motu;ho
Haitian Creole;ht
Hungarian;hu
Armenian;hy
Herero;hz
Interlingua;ia
Indonesian;id
Interlingue;ie
Igbo;ig
Sichuan Yi;ii
Inupiak;ik
Ido;io
Icelandic;is
Italian;it
Inuktitut;iu
Japanese;ja
Javanese;jv
Georgian;ka
Kongo;kg
Kikuyu;ki
Kwanyama;kj
Kazakh;kk
Greenlandic;kl
Khmer;km
Kannada;kn
Korean;ko
Kanuri;kr
Kashmiri;ks
Kurdish;ku
Komi-Zyrian;kv
Cornish;kw
Kyrgyz;ky
Latin;la
Luxembourgish;lb
Luganda;lg
Limburgish;li
Lingala;ln
Lao;lo
Lithuanian;lt
Luba-Katanga;lu
Latvian;lv
Malagasy;mg
Marshallese;mh
Maori;mi
Macedonian;mk
Malayalam;ml
Mongolian;mn
Marathi;mr
Malay;ms
Maltese;mt
Burmese;my
Nauruan;na
Norwegian Bokmål;nb
Northern Ndebele;nd
Nepali;ne
Ndonga;ng
Dutch;nl
Norwegian Nynorsk;nn
Norwegian;no
Southern Ndebele;nr
Navajo;nv
Chichewa;ny
Occitan;oc
Ojibwe;oj
Oromo;om
Oriya;or
Ossetian;os
Punjabi;pa
Pali;pi
Polish;pl
Pashto;ps
Portuguese;pt
Quechua;qu
Romansch;rm
Kirundi;rn
Romanian;ro
Russian;ru
Kinyarwanda;rw
Sanskrit;sa
Sardinian;sc
Sindhi;sd
