Ch'orti';caa
Garifuna;cab
Chuj;cac
Caddo;cad
Laalaa;cae
Southern Carrier;caf
Nivaclé;cag
Cahuarano;cah
Chané;caj
Kaqchikel;cak
Carolinian;cal
Cèmuhî;cam
Chambri;can
Chácobo;cao
Chipaya;cap
Car Nicobarese;caq
Kari'na;car
Tsimané;cas
Cavineña;cav
Kallawaya;caw
Chiquitano;cax
Cayuga;cay
Canichana;caz
Cabiyarí;cbb
Carapana;cbc
Carijona;cbd
Chimila;cbg
Chachi;cbi
Ede Cabe;cbj
Chavacano;cbk
Bualkhaw Chin;cbl
Nyah Kur;cbn
Izora;cbo
Tsucuba;cbq
Cashibo-Cacataibo;cbr
Cashinahua;cbs
Chayahuita;cbt
Candoshi-Shapra;cbu
Cacua;cbv
Kinabalian;cbw
Carabayo;cby
Cauca;cca
Chamicuro;ccc
Cafundó;ccd
Chopi;cce
Chamba Daka;ccg
Atsam;cch
Kasanga;ccj
Cutchi-Swahili;ccl
Malaccan Creole Malay;ccm
Comaltepec Chinantec;cco
Chakma;ccp
Cacaopera;ccr
Chenchu;cde
Chiru;cdf
Chambeali;cdh
Chodri;cdi
Churahi;cdj
Chepang;cdm
Eastern Min;cdo
Cinda-Regi-Tiyal;cdr
Chadian Sign Language;cds
Koda;cdz
Lower Chehalis;cea
Cebuano;ceb
Chamacoco;ceg
Cen;cen
Centúúm;cet
Dijim-Bwilim;cfa
Cara;cfd
Como Karim;cfg
Falam Chin;cfm
Changriwa;cga
Kagayanen;cgc
Rukiga;cgg
Chocangaca;cgk
Chibcha;chb
Catawba;chc
Highland Oaxaca Chontal;chd
Tabasco Chontal;chf
Chagatai;chg
Chinook;chh
Ojitlán Chinantec;chj
Chuukese;chk
Cahuilla;chl
Chinook Jargon;chn
Choctaw;cho
Chipewyan;chp
Quiotepec Chinantec;chq
Cherokee;chr
Chuabo;chw
Chantyal;chx
Cheyenne;chy
Ozumacín Chinantec;chz
Cia-Cia;cia
Ci Gbe;cib
Chickasaw;cic
Chimariko;cid
Cineni;cie
Chinali;cih
Cimbrian;cim
Cinta Larga;cin
Chiapanec;cip
Tîrî;cir
Chaima;ciy
Western Cham;cja
Chru;cje
Upper Chehalis;cjh
Chamalal;cji
Chokwe;cjk
Eastern Cham;cjm
Chenapian;cjn
Ashéninka Pajonal;cjo
Cabécar;cjp
Shor;cjs
