ǃKung;khi-kun
ǂKxʼauǁʼein;aue
Abar;mij
Abewa;aum
Abipon;axb
Abu' Arapesh;aah
Acadian French;fra-aca
Ache;yif
Adabe;adb
Adai;xad
Adamawa Fulfulde;fub
Adasen;tiu
Adivasi Oriya;ort
Afghan Sign Language;afg
Afra;ulf
Aghu Tharnggalu;ggr
Agob;kit
Aguacateco;agu
Aguano;aga
Aheu;thm
Aimaq;aiq
Aiwoo;nfl
Aka;soh
Aka-Jeru;akj
Albanian Sign Language;sqk
Algerian Saharan Arabic;aao
Algerian Sign Language;asp
Alo Phola;ypo
Alor;aol
Al-Sayyid Bedouin Sign Language;syy
Alsea;aes
Aluo;yna
Amdo Tibetan;adx
Ammonite;sem-amm
Amundava;adw
Amuzgo;amu
Anal;anm
Anamgura;imi
Ancient Zapotec;xzp
Andaqui;ana
Anfillo;myo
Angas;anc
Angosturas Tunebo;tnd
Ani Phowa;ypn
Anyin;any
Ap Ma;kbx
Aramanik;aam
Aranama-Tamique;xrt
Arawak;arw
Arbëreshë Albanian;aae
Ardhamagadhi Prakrit;pka
Arma;aoh
Armazic;xrm
Armenian Sign Language;aen
Arutani;atx
Arvanitika Albanian;aat
Asas;asd
Asho Chin;csh
Ashtiani;atn
Assangori;sjg
Asu;asa
Asue Awyu;psa
A'tong;aot
Atong;ato
Atzingo Matlatzinca;ocu
Augila;auj
'Auhelawa;kud
Australian Manda;zma
Austronesian Mor;mhz
Awa;awb
Awad Bing;bcu
Awu;yiu
Axi Yi;yix
Ayautla Mazatec;vmy
Ayizi;yyz
Ayizo Gbe;ayb
Aynu;aib
Azhe;yiz
Baa;kwb
Babalia Creole Arabic;bbz
Babine;bcr
Badui;bac
Bafaw-Balong;bwt
Baga Binari;bcg
Baga Mboteni;bgm
Bagirmi Fulfulde;fui
Bago-Kusuntu;bqg
Baha Buyang;yha
Bahamas Creole English;bah
Baima;bqh
Bamako Sign Language;bog
Bamun;bax
Ban Khor Sign Language;bfk
Banam Bay;vrt
Banda (Indonesia);bnd
Banda-Yangere;yaj
Bandjigali;bjd
Banggarla;bjb
Bangi Me;dba
Bankagooma;bxw
Bannoni;bcm
Banyumasan;map-bms
Baoulé;bci
Barbacoas;bpb
Barro Negro Tunebo;tbn
Batak Dairi;\N
Batak Karo;\N
Batak Toba;\N
Batak;bya
Batyala;xby
Bazigar;bfr
Belize Kriol English;bzj
Ben Tey Dogon;dbt
Bengkala Sign Language;bqy
Beothuk;bue
Bhalay;bhx
Bhatola;btl
Bhaya;bhe
Bhoti Kinnauri;nes
Biao Mon;bmt
Bibbulman;xbp
Bikol;bik
Bilma Kanuri;bms
Bindal;xbd
Bini;bin
Birked;brk
Bisaya;\N
Bitur;mcc
Bo;bgl
Bodo (Central African Republic);boy
Bokha;ybk
Bolak;art-blk
Bolo;blv
Boma;boh
Bon Gula;glc
Bontoc;bnc
Borana-Arsi-Guji Oromo;gax
Border Kuna;kvn
Borgu Fulfulde;fue
Bouna Kulango;nku
Bo-Ung;mux
Brek Karen;kvl
Brunei;kxd
Budeh Stieng;stt
Bugawac;buk
Buksa;tkb
Bukwen;buz
Bulgarian Sign Language;bqn
Bullom So;buy
Bulu (Papua New Guinea);bjl
Bulu;bum
Bumang;bvp
Bunganditj;xbg
Bunoge Dogon;dgb
Bunurong;aus-bun
Bura-Pabir;bwr
Bushi;buc
Buya;byy
Buyuan Jinuo;jiy
Byep;mkk
Byzantine Greek;gkm
Bädi Kanum;khd
Cafundo Creole;ccd
Cagua;cbh
Cajun French;frc
Cakchiquel;cak
Cakchiquel-Quiché Mixed Language;ckz
Calabrian Greek;grk-cal
Callawalla;caw
Camba;xba
Camling;rab
Campidanese Sardinian;sro
Camunic;xcc
Cao Miao;cov
Cayuse;xcy
Cebaara Senoufo;sef
Cemuhî;cam
Central Aymara;ayr
Central Berawan;zbc
Central Bontok;lbk
Central Hongshuihe Zhuang;zch
Central Huishui Hmong;hmc
Central Kanuri;knc
Central Maewo;mwo
Central Mashan Hmong;hmm
Central-Eastern Niger Fulfulde;fuq
Chadong;cdy
Chalikha;tgf
Chamari;cdg
Chango;snq
Chaudangsi;cdn
Chaungtha;ccq
Che;ruk
Chepya;ycp
Cheq Wong;cwg
Chesu;ych
Chetco;ctc
Chiangmai Sign Language;csd
Chidigo;dig
Chinbon Chin;cnb
Chinese Sign Language;csl
Chinese;\N
Chipiajes;cbe
Chitkuli Kinnauri;cik
Chitonga;tog
Chitwania Tharu;the
Chocangacakha;cgk
Chokri Naga;nri
Cholón;cht
Choni;cda
Chorasmian;xco
Chukwa;cuw
Chuwabu;chw
Chuvantsy;xcv
Citak;txt
Ciwogai;tgd
Classical Newari;nwc
C'lela;dri
Coahuilteco;xcw
Cocama-Cocamilla;cod
Col;liw
Colorado;cof
Comecrudo;xcm
Communicationssprache;art-com
Comorian;\N
Con;cno
Côông;cnc
Cotoname;xcn
Coxima;kox
Crimean Gothic;gme-cgo
Croatian Sign Language;csq
Cumbric;xcb
Cumeral;cum
Daantanai';lni
Dabarre;dbr
Dai Zhuang;zhd
Dakaka;bpa
Dakka;dkk
Dakpakha;dka
Dama;dmm
Damal;uhn
Dameli;dml
Dan;daf
Danau;dnu
Dangaura Tharu;thl
Darkinjung;aus-dar
Darling;drl
Darmiya;drd
Daza;dzd
Deccan;dcc
Degaru;dgu
Dek;dek
Dela-Oenale;row
Dezfuli;def
Dhanki;dhn
Dhao;nfa
Dhargari;dhr
Dhuwal;duj
Dibole;bvx
Diebroud;tbp
Digaro-Mishmi;mhu
Diitidaht;dtd
Dima;jma
Dime;dim
Dimir;dmc
Dirari;dit
Ditammari;tbz
Diudish;diu
Diuwe;diy
Djamindjung;djd
Djeebbana;djj
Djimini Senoufo;dyi
Dogoso;dgs
Dogul Dom Dogon;dbg
Dolpo;dre
Dombe;dov
Dongotono;ddd
Dongshanba Lalo;yik
Doromu-Koki;kqc
Dororo;drr
Dubli;dub
Duke;nke
Dungmali;raa
Dupaninan Agta;duo
Durango Nahuatl;nln
Dutch Low Saxon;nds-nl
Duungooma;dux
Dza;jen
Dzalakha;dzl
Dzao Min;bpn
Dzùùngoo;dnn
Early Tripuri;xtr
East Ambae;omb
East Berawan;zbe
East Kewa;kjs
East Limba;lma
East Tarangan;tre
Eastern Balochi;bgp
Eastern Bontok;ebk
Eastern Egyptian Bedawi Arabic;avl
Eastern Frisian;frs
Eastern Hongshuihe Zhuang;zeh
Eastern Huishui Hmong;hme
Eastern Karaboro;xrb
Eastern Krahn;kqo
Eastern Lalu;yit
Eastern Mari;chm
Eastern Muria;emu
Eastern Nisu;nos
Eastern Persian;prs
Eastern Qiandong Miao;hmq
Eastern Xiangxi Miao;muq
Egyptian Sign Language;esl
Elfdalian;dlc
Eloi;art-elo
Elseng;mrf
E'ma Buyang;yzg
Emai-Iuleha-Ora;ema
Emem;enr
Emok;emo
Enrekang;ptt
Enu;enu
Epi-Olmec;xep
Erave;kjy
Eteocretan;ecr
Eteocypriot;ecy
Ethiopian Sign Language;eth
Ewage-Notu;nou
Fang;fak
Fanti;fat
Far Western Muria;fmu
Flemish Sign Language;vgt
Frankish;frk
French Belgian Sign Language;sfb
Gaa;ttb
Gabi;aus-gab
Gabi-Gabi;gbw
Gade Lohar;gda
Gail;gic
Galibi Carib;car
Galindan;xgl
Gallo;roa-gal
Gallurese Sardinian;sdn
Gam;kmc
Gambian Wolof;wof
Gangte;gnb
Gangulu;gnl
Garawa;gbc
Garingbal;xgi
Garza;xgr
Gata';gaq
Gaulish;cel-gau
Gavar;gou
Gavião Do Jiparaná;gvo
Gazi;gzi
Gbati-ri;gti
Gbaya;gba
Geko Karen;ghk
Gelao;gio
Gepo;ygp
German Low German;nds-de
Ghandruk Sign Language;gds
Gheg Albanian;aln
Ghera;ghr
Ghodoberi;gdo
Ghomálá';bbj
Ghotuo;aaa
Giiwo;kks
Gimme;kmp
Ginuman;gnm
Ginyanga;ayg
Gitonga;toh
Giyug;giy
Gizrra;tof
Glaro-Twabo;glr
Glio-Oubi;oub
Gnau;gnu
Goa'uld;art-gld
Gobu;gox
Godié;god
Gongduk;goe
Goreng;xgg
Gorowa;gow
Goundo;goy
Gowlan;goj
Gowli;gok
Greek Sign Language;gss
Green Gelao;giq
Greenlandic Eskimo Pidgin;crp-gep
Groma;gro
Guanche;gnc
Guanyinqiao;jiq
Gudang;xgd
Gudanji;nji
Guernésiais;roa-grn
Guevea De Humboldt Zapotec;zpg
Gugu Warra;wrw
Gugubera;kkp
Gugu-Mini;ggm
Guibei Zhuang;zgb
Guiberoua Béte;bet
Guibian Zhuang;zgn
Guiqiong;gqi
Gule;gly
Guliguli;gli
Gunditjmara;gjm
Gundungurra;xrd
Guntai;gnt
Gurdjar;gdj
Gureng Gureng;gnr
Gutnish;gmq-gut
Guwa;xgw
Guwinmal;xgm
Ha;haq
Hadrami Arabic;ayh
Haiphong Sign Language;haf
Haji;hji
Halang Doan;hld
Hamap;hmu
Han;haa
Hangaza;han
Hano;lml
Harami;xha
Haruai;tmd
Haruku;hrk
Hasha;ybj
Hassaniya;mey
Hatam;had
Hazaragi;haz
Heiban;hbn
Helambu Sherpa;scp
