Ebughu;ebg
Eastern Bontoc;ebk
Ebrié;ebr
Embu;ebu
Ecuadorian Sign Language;ecs
E;eee
Efai;efa
Efe;efe
Efik;efi
Ega;ega
Emilian;egl
Eggon;ego
Egyptian;egy
Ehueun;ehu
Eipomek;eip
Eitiep;eit
Askopan;eiv
Ejamat;eja
Ekajuk;eka
Ekit;eke
Ekari;ekg
Eki;eki
Kolhe;ekl
Elip;ekm
Koti;eko
Ekpeye;ekp
Yace;ekr
Eastern Kayah;eky
Elepi;ele
El Hugeirat;elh
Nding;eli
Elkei;elk
Eleme;elm
El Molo;elo
Elu;elu
Elamite;elx
Emai;ema
Embaloh;emb
Emerillon;eme
Eastern Meohang;emg
Mussau-Emira;emi
Eastern Maninkakan;emk
Mamulique;emm
Eman;emn
Northern Emberá;emp
Alutiiq;ems
Emplawas;emw
Erromintxela;emx
Epigraphic Mayan;emy
Apali;ena
Markweeta;enb
En;enc
Ende;end
Forest Enets;enf
Tundra Enets;enh
Enlhet;enl
Middle English;enm
Engenni;enn
Enggano;eno
Enga;enq
Enwan;env
Enwang;enw
Enxet;enx
Eotile;eot
Epie;epi
Eravallan;era
Sie;erg
Eruwa;erh
Ogea;eri
South Efate;erk
Erre;err
Ersu;ers
Eritai;ert
Erokwanas;erw
Ese Ejja;ese
Eshtehardi;esh
Esuma;esm
Salvadoran Sign Language;esn
Estonian Sign Language;eso
Esselen;esq
Central Siberian Yupik;ess
Yup'ik;esu
Eskayan;esy
Etebi;etb
Etchemin;etc
Eton (Vanuatu);etn
Eton (Cameroon);eto
Edolo;etr
Yekhee;ets
Etruscan;ett
Ejagham;etu
Eten;etx
Semimi;etz
Even;eve
Uvbie;evh
Evenki;evn
Ewondo;ewo
Extremaduran;ext
Eyak;eya
Keiyo;eyo
Ezaa;eza
Uzekwe;eze
Fasu;faa
Annobonese;fab
Wagi;fad
Fagani;faf
Finongan;fag
Baissa Fali;fah
Faiwol;fai
Faita;faj
Fang (Beboid);fak
South Fali;fal
Fam;fam
Fang (Bantu);fan
Palor;fap
Fataleka;far
Fayu;fau
Fala;fax
West Albay Bikol;fbl
Quebec Sign Language;fcs
Feroge;fer
Foia Foia;ffi
Fongoro;fgr
Nobiin;fia
Fyer;fie
Fipa;fip
Firan;fir
Meänkieli;fit
Fiwaga;fiw
Kirya-Konzel;fkk
Kven;fkv
Montana Salish;fla
Foau;flh
Fali;fli
North Fali;fll
Flinders Island;fln
Fuliiru;flr
Tsotsitaal;fly
Fe'fe';fmp
Fanagalo;fng
Fania;fni
Foodo;fod
Foi;foi
Foma;fom
Fon;fon
Fore;for
Siraya;fos
Pichinglis;fpe
Fas;fqs
Fordata;frd
Middle French;frm
Old French;fro
Franco-Provençal;frp
Forak;frq
North Frisian;frr
Fortsenal;frt
Finnish Sign Language;fse
French Sign Language;fsl
Finnish-Swedish Sign Language;fss
East Futuna;fud
Ko;fuj
Fum;fum
Fulniô;fun
Friulian;fur
Futuna-Aniwa;fut
Furu;fuu
Fuyug;fuy
Fur;fvr
Fwâi;fwa
Fwe;fwe
Ga;gaa
Gabri;gab
Mixed Great Andamanese;gac
Gaddang;gad
Warekena;gae
Gende;gaf
Gagauz;gag
Alekano;gah
Borei;gai
Gadsup;gaj
Gamkonora;gak
Galoli;gal
Kandawo;gam
Gan;gan
Gants;gao
Gal;gap
Galeya;gar
Adiwasi Garasia;gas
Kenati;gat
Kondekor;gau
Nobonob;gaw
Gayo;gay
Kaytetye;gbb
Karadjeri;gbd
Niksek;gbe
Gaikundi;gbf
Gbanziri;gbg
Defi Gbe;gbh
Galela;gbi
Bodo Gadaba;gbj
Gaddi;gbk
Gamit;gbl
Garhwali;gbm
Mo'da;gbn
Northern Grebo;gbo
Gbaya-Bossangoa;gbp
Gbaya-Bozoum;gbq
Gbagyi;gbr
Gbesi Gbe;gbs
Gagadu;gbu
Gbanu;gbv
Gabi;gbw
Eastern Xwla Gbe;gbx
Gbari;gby
Mali;gcc
Ganggalida;gcd
Galice;gce
Antillean Creole;gcf
Grenadian Creole English;gcl
Gaina;gcn
Guianese Creole;gcr
Colonia Tovar German;gct
Ollari;gdb
Gugu Badhun;gdc
Gedaged;gdd
Gude;gde
Guduf-Gava;gdf
Ga'dang;gdg
Gadjerawang;gdh
Gundi;gdi
Kurtjar;gdj
Gadang;gdk
Dirasha;gdl
Laal;gdm
Umanakaina;gdn
Godoberi;gdo
Mehri;gdq
Wipi;gdr
Kungardutyi;gdt
Gudu;gdu
Godwari;gdx
Geruma;gea
Kire;geb
Gboloo Grebo;gec
Gade;ged
Gengle;geg
Hutterisch;geh
Gebe;gei
Gen;gej
Gerka;gek
Fakkanci;gel
Geme;geq
Geser-Gorom;ges
Viya;gev
Gera;gew
Garre;gex
Enya;gey
Ge'ez;gez
Patpatar;gfk
Gafat;gft
Gao;gga
Gbii;ggb
Gugadj;ggd
Guragone;gge
Gurgula;ggg
Kungarakany;ggk
Ganglau;ggl
Eastern Gurung;ggn
Gitua;ggt
Gban;ggu
Gogodala;ggw
Ghadames;gha
Classical Gaelic;ghc
Southern Ghale;ghe
Northern Ghale;ghh
Ghulfan;ghl
Ghanongga;ghn
Ghomara;gho
Guhu-Samane;ghs
Kutang Ghale;ght
Kitja;gia
Gibanawa;gib
Gidar;gid
Guébie;gie
Goaria;gig
Githabul;gih
Gilbertese;gil
Gimi (Goroka);gim
Hinukh;gin
Gitxsan;git
Gilima;gix
Geji;gji
Gonja;gjn
Gurindji Kriol;gjr
Gojri;gju
Guya;gka
Magɨ;gkd
Gokana;gkn
Kok-Nar;gko
Guinea Kpelle;gkp
Nanai;gld
Northwest Pashayi;glh
Gilaki;glk
Galambu;glo
Glavda;glw
Gambera;gma
Gula'alaa;gmb
Magiyi;gmg
Middle High German;gmh
Middle Low German;gml
Gbaya-Mbodomo;gmm
Gimnime;gmn
Gumalu;gmu
Gamo;gmv
Mycenaean Greek;gmy
Mgbo;gmz
Zulgo-Gemzek;gnd
Ganang;gne
Gooniyandi;gni
Ngen of Djonkro;gnj
ǁGana;gnk
Gumatj;gnn
Gana;gnq
Western Bolivian Guaraní;gnw
Ganzi;gnz
Guro;goa
Gorakor;goc
Gofa;gof
Gogo;gog
Old High German;goh
Gobasi;goi
Gola;gol
Gondi;gon
Gone Dau;goo
Yeretuar;gop
Gorap;goq
Gorontalo;gor
Gothic;got
Goo;gov
Gozarkhani;goz
Gupa-Abawa;gpa
Ga'anda;gqa
Kinikinao;gqn
Gor;gqr
Rajput Garasia;gra
Grebo;grb
Ancient Greek;grc
Guruntum;grd
Madi;grg
Gbiri-Niragu;grh
Ghari;gri
Southern Grebo;grj
Kota Marudu Talantang;grm
Gorovu;grq
Gresi;grs
Garo;grt
Kistane;gru
Central Grebo;grv
Gweda;grw
Guriaso;grx
Barclayville Grebo;gry
Guramalum;grz
Ghanaian Sign Language;gse
German Sign Language;gsg
Gusilay;gsl
Guatemalan Sign Language;gsm
Gusan;gsn
Southwest Gbaya;gso
Wasembo;gsp
Alemannic German;gsw
Guató;gta
Aghu Tharrnggala;gtu
Shiki;gua
Guajajára;gub
Wayuu;guc
Yocoboué Dida;gud
Gurindji;gue
Gupapuyngu;guf
Paraguayan Guaraní;gug
Guahibo;guh
Eastern Bolivian Guaraní;gui
Gumuz;guk
Gullah;gul
Guambiano;gum
Mbyá Guaraní;gun
Guayabero;guo
Gunwinggu;gup
Aché;guq
Farefare;gur
Guinean Sign Language;gus
Maléku Jaíka;gut
Yanomamö;guu
Gey;guv
Gun;guw
Gourmanchéma;gux
Gusii;guz
Kaskihá;gva
Guanano;gvc
Duwet;gve
Golin;gvf
Guajá;gvj
Gulay;gvl
Gurmana;gvm
Kuku-Yalanji;gvn
Gavião do Jiparaná;gvo
Pará Gavião;gvp
Western Gurung;gvr
Gumawana;gvs
