Fasu;faa
Annobonese;fab
Wagi;fad
Fagani;faf
Finongan;fag
Baissa Fali;fah
Faiwol;fai
Faita;faj
Fang (Beboid);fak
South Fali;fal
Fam;fam
Fang (Bantu);fan
Palor;fap
Fataleka;far
Fayu;fau
Fala;fax
West Albay Bikol;fbl
Quebec Sign Language;fcs
Feroge;fer
Foia Foia;ffi
Fongoro;fgr
Nobiin;fia
Fyer;fie
Fipa;fip
Firan;fir
Meänkieli;fit
Fiwaga;fiw
Kirya-Konzel;fkk
Kven;fkv
Montana Salish;fla
Foau;flh
Fali;fli
North Fali;fll
Flinders Island;fln
Fuliiru;flr
Tsotsitaal;fly
Fe'fe';fmp
Fanagalo;fng
Fania;fni
Foodo;fod
Foi;foi
Foma;fom
Fon;fon
Fore;for
Siraya;fos
Pichinglis;fpe
Fas;fqs
Fordata;frd
Middle French;frm
Old French;fro
Franco-Provençal;frp
Forak;frq
North Frisian;frr
Fortsenal;frt
Finnish Sign Language;fse
French Sign Language;fsl
Finnish-Swedish Sign Language;fss
East Futuna;fud
Ko;fuj
Fum;fum
Fulniô;fun
Friulian;fur
Futuna-Aniwa;fut
Furu;fuu
Fuyug;fuy
Fur;fvr
Fwâi;fwa
Fwe;fwe
