Iaai;iai
Iban;iba
Ibibio;ibb
Iwaidja;ibd
Akpes;ibe
Ibanag;ibg
Bih;ibh
Ibaloi;ibl
Agoi;ibm
Ibino;ibn
Ede Ica;ica
Etkywan;ich
Icelandic Sign Language;icl
Islander Creole English;icr
Indo-Portuguese;idb
Ede Idaca;idd
Idi;idi
Idesa;ids
Idaté;idt
Idoma;idu
Amganad Ifugao;ifa
Batad Ifugao;ifb
Ifè;ife
Ifo;iff
Tuwali Ifugao;ifk
Mayoyao Ifugao;ifu
Keley-I Kallahan;ify
Ebira;igb
Igede;ige
Igana;igg
Igala;igl
Kanggape;igm
Ignaciano;ign
Glosa;igs
Igwe;igw
Pidgin Iha;ihb
Ihievbe;ihi
Izon;ijc
Biseni;ije
Ede Ije;ijj
Southeast Ijo;ijs
Eastern Canadian Inuktitut;ike
Iko;iki
Ikulu;ikl
Olulumo-Ikom;iko
Ikpeshi;ikp
Inuit Sign Language;iks
Inuvialuktun;ikt
Ik;ikx
Ikizu;ikz
Ila;ilb
Ilgar;ilg
Ili Turki;ili
Ilongot;ilk
Iranun;ill
Ilocano;ilo
Ilue;ilv
Miluk;iml
Marsian;ims
Milyan;imy
Inga;inb
Deg Xinag;ing
Ingush;inh
Jungle Inga;inj
Indonesian Sign Language;inl
Minaean;inm
Isinai;inn
Iñapari;inp
Intha;int
Ineseño;inz
Inor;ior
Tuma-Irumu;iou
Chiwere;iow
Iquito;iqu
Ikwo;iqw
Iresim;ire
Irarutu;irh
Rigwe;iri
Iraqw;irk
Irula;iru
Iraya;iry
Isconahua;isc
Isnag;isd
Italian Sign Language;ise
Irish Sign Language;isg
Esan;ish
Nkem-Nkum;isi
Ishkashimi;isk
Masimasi;ism
Isanzu;isn
Isoko;iso
Israeli Sign Language;isr
Istriot;ist
Isu;isu
Interslavic;isv
Binongan Itneg;itb
Itene;ite
Judeo-Italian;itk
Itelmen;itl
Itu Mbon Uzo;itm
Itsekiri;its
Itawit;itv
Ito;itw
Itza';itz
Iu Mien;ium
Ibatan;ivb
Ivatan;ivv
Ixil;ixl
Iyayu;iya
Mesaka;iyo
Yaa;iyx
Ingrian;izh
Izere;izr
Izi;izz
