Jamamadí;jaa
Hyam;jab
Jakaltek;jac
Jahanka;jad
Jabem;jae
Jara;jaf
Jah Hut;jah
Zazao;jaj
Yalahatan;jal
Jamaican Creole;jam
Janday;jan
Yanyuwa;jao
Yaqay;jaq
New Caledonian Javanese;jas
Jakati;jat
Yaur;jau
Jambi Malay;jax
Yan-nhangu;jay
Jawe;jaz
Arandai;jbj
Barikewa;jbk
Lojban;jbo
Jabutí;jbt
Jukun Takum;jbu
Yawijibaya;jbw
Jamaican Country Sign Language;jcs
Krymchak;jct
Judeo-Tat;jdt
Jeng;jeg
Jeh;jeh
Jeri Kuo;jek
Ngomba;jgo
Jibu;jib
Tol;jic
Bu;jid
Jiiddu;jii
Jimjimen;jim
Jita;jit
Shuar;jiv
Jeju;jje
Kaera;jka
Jamaican Sign Language;jls
Machame;jmc
Yamdena;jmd
Jimi;jmi
Mouwase;jmw
Western Juxtlahuaca Mixtec;jmx
Jangshung;jna
Jandavra;jnd
Jaunsari;jns
Jorá;jor
Jordanian Sign Language;jos
Jowulu;jow
Judeo-Persian;jpr
Jaqaru;jqr
Jarai;jra
Japrería;jru
Japanese Sign Language;jsl
Júma;jua
Jurchen;juc
Hone;juh
Ngadjuri;jui
Jumjum;jum
Juang;jun
Hupdë;jup
Jurúna;jur
Jutish;jut
Wãpha;juw
Javindo;jvd
Caribbean Javanese;jvn
Jwira-Pepesa;jwi
Jaya;jyy
