Karakalpak;kaa
Kabyle;kab
Jingpho;kac
Kadara;kad
Kajaman;kag
Fer;kah
Karekare;kai
Jju;kaj
Kayapa Kallahan;kak
Kamba;kam
Kassonke;kao
Bezhta;kap
Capanahua;kaq
Old Javanese;kaw
Kamayurá;kay
Kalarko;kba
Kaxuyana;kbb
Kadiwéu;kbc
Kabardian;kbd
Kanju;kbe
Camsá;kbh
Kaptiau;kbi
Kari;kbj
Grass Koiari;kbk
Iwal;kbm
Kare (Africa);kbn
Kabiyé;kbp
Kamano;kbq
Kafa;kbr
Kande;kbs
Gabadi;kbt
Kamberataro;kbv
Kaiep;kbw
Duhwa;kbz
Lubila;kcc
Tyap;kcg
Kalanga;kck
Kala;kcl
Nubi;kcn
Kanga;kcp
Kikami;kcu
Konongo;kcz
Worimi;kda
Yankunytjatjara;kdd
Makonde;kde
Mamusi;kdf
Seba;kdg
Tem;kdh
Karamojong;kdj
Numèè;kdk
Kunda;kdn
Karaim;kdr
Kuy;kdt
Kadaru;kdu
Kwaja;kdz
Kabuverdianu;kea
Keiga;kec
Eastern Keres;kee
Q'eqchi;kek
Kela-Yela;kel
Kemak;kem
Kenyang;ken
Kera;ker
Kugbo;kes
Ket;ket
Akebu;keu
Kanikkaran;kev
Kewa;kew
Kukna;kex
Kukele;kez
Kodava;kfa
Kolami;kfb
Konda-Dora;kfc
Korra Koraga;kfd
Kota (India);kfe
Koya;kff
Kurichiya;kfh
Kinnauri;kfk
Kung;kfl
Kuk;kfn
Koro (West Africa);kfo
Korku;kfq
Kachchi;kfr
Bilaspuri;kfs
Kanjari;kft
Kullu Pahari;kfx
Kumaoni;kfy
Koromfé;kfz
Komering;kge
Kusunda;kgg
Gamale Kham;kgj
Kaiwá;kgk
Karingani;kgn
Krongo;kgo
Kaingang;kgp
Abun;kgr
Somyev;kgt
Khasi;kha
Lü;khb
Kuturmi;khj
Lusi;khl
Khotanese;kho
Koyra Chiini;khq
Khamti;kht
Khvarshi;khv
Khowar;khw
Ekele;khy
Keapara;khz
Kickapoo;kic
Koshin;kid
Eastern Parbate Kham;kif
Kitsai;kii
Kilivila;kij
Tofa;kim
Kiowa;kio
Sheshi Kham;kip
Kis;kis
Khiamniungan Naga;kix
Q'anjob'al;kjb
Coastal Konjo;kjc
Kisar;kje
Khmu;kjg
Khakas;kjh
Zabana;kji
Khinalug;kjj
Western Parbate Kham;kjl
Kunjen;kjn
Harijan Kinnauri;kjo
Eastern Pwo;kjp
Western Keres;kjq
Kurudu;kjr
Phrae Pwo;kjt
Kashaya;kju
Bumthangkha;kjz
Kakabe;kke
Kalaktang Monpa;kkf
Khün;kkh
Kagulu;kki
Kokota;kkk
Kiong;kkm
Koko-Bera;kkp
Kaiku;kkq
Kir-Balar;kkr
Kirfi;kks
Kangean;kkv
Guugu Yimidhirr;kky
Kaska;kkz
Klamath-Modoc;kla
Kiliwa;klb
Gamilaraay;kld
Tagakaulu Kalagan;klg
Weliki;klh
Khalaj;klj
Kono (Nigeria);klk
Kolom;klm
Kalenjin;kln
Khaling;klr
Kalasha;kls
Nukna;klt
Maskelynes;klv
Lindu;klw
Koluwawa;klx
Kimbundu;kmb
Southern Kam;kmc
Bakole;kme
Kare (New Guinea);kmf
Kâte;kmg
Kami;kmi
Kumarbhag Paharia;kmj
Limos Kalinga;kmk
Tanudan Kalinga;kml
Awtuw;kmn
Northern Kurdish;kmr
Kamasau;kms
Karipúna Creole French;kmv
Kumu;kmw
Khorasani Turkish;kmz
Kanakuru;kna
Lubuagan Kalinga;knb
Konda;knd
Kankanaey;kne
Kanufi;kni
Akatek;knj
Kuranko;knk
Keninjal;knl
Kanamari;knm
Kwanja;knp
Katukina;knt
Kono (Guinea);knu
Kendayan;knx
Konomala;koa
Kpati;koc
Kodi;kod
Kubi;kof
Cogui;kog
Koyo;koh
Komi-Permyak;koi
Konkani;kok
Kota (Gabon);koq
Kosraean;kos
Lagwan;kot
Koyukon;koy
Curripaco;kpc
Kpelle;kpe
Kapingamarangi;kpg
Kofei;kpi
Karajá;kpj
Kpan;kpk
Kpala;kpl
Koho;kpm
Kepkiriwát;kpn
Ikposo;kpo
Karata;kpt
Komi-Zyrian;kpv
Kobon;kpw
Koryak;kpy
Kalagan;kqe
Kakabai;kqf
Kaonde;kqn
Kimaragang;kqr
Kandas;kqw
Koorete;kqy
Korana;kqz
Kumhali;kra
Karkin;krb
Karachay-Balkar;krc
Koro (Vanuatu);krf
Krio;kri
Kinaray-a;krj
Kerek;krk
Karelian;krl
Korop;krp
Kurukh;kru
Kavet;krv
Kryts;kry
Shambala;ksb
Tolai;ksd
Kuni;kse
Bafia;ksf
Kusaghe;ksg
Krisa;ksi
Kansa;ksk
Kumalu;ksl
Borong;ksr
S'gaw Karen;ksw
Kedang;ksx
Kambaata;ktb
Kalkatungu;ktg
North Muyu;kti
Kaniet;ktk
Koroshi;ktl
Kurti;ktm
Karitiâna;ktn
South Muyu;kts
Kituba;ktu
Eastern Katu;ktv
Kato;ktw
Kaxararí;ktx
Kango;kty
Juǀ'hoan;ktz
Auhelawa;kud
Kuman;kue
Western Katu;kuf
Kuikúro;kui
Kuria;kuj
Kumyk;kum
Karipuna;kuq
Kusaal;kus
Kutenai;kut
Upper Kuskokwim;kuu
Kur;kuv
Bagvalal;kva
Kove;kvc
Kalabakan;kve
Komodo;kvh
Kwang;kvi
Kendem;kvm
Dobel;kvo
Geba Karen;kvq
Kerinci;kvr
Dâw;kwa
Kwaio;kwd
Kwara'ae;kwf
Kowiai;kwh
Awa-Cuaiquer;kwi
Kwak'wala;kwk
Kofyar;kwl
Kwangali;kwn
Kwak;kwq
Sara Kaba Náà;kwv
Kwinti;kww
Kwadi;kwz
Kairiru;kxa
Krobu;kxb
Khonso;kxc
Brunei Malay;kxd
Kakihum;kxe
Manumanaw Karen;kxf
Keningau Murut;kxi
Nepali Kurux;kxl
Northern Khmer;kxm
Kanowit;kxn
Manus Koro;kxr
Kangjia;kxs
Kui (India);kxu
Kuvi;kxv
Kwaya;kya
Butbut Kalinga;kyb
Karok;kyh
Kiput;kyi
Karao;kyj
Kuruáya;kyr
Baram Kayan;kys
Western Kayah;kyu
Kayort;kyv
Kudmali;kyw
Kayabí;kyz
Bondoukou Kulango;kzc
Kadai;kzd
Kosena;kze
Da'a Kaili;kzf
Kikai;kzg
Dongolawi;kzh
Kelabit;kzi
Coastal Kadazan;kzj
Kayeli;kzl
Kais;kzm
Kokola;kzn
Kaidipang;kzp
Karang;kzr
Sugut Dusun;kzs
Tambunan Dusun;kzt
Komyandaret;kzv
Kariri;kzw
Kamarian;kzx
Kango-Sua;kzy
Kalabra;kzz
