Lacandon;lac
Ladino;lad
Lahnda;lah
Lango (Uganda);laj
Lamba;lam
Laru;lan
Kabba-Laka;lap
Larteh;lar
Gur Lama;las
Lauje;law
Tiwa;lax
Lama Bai;lay
Aribwatsa;laz
Label;lbb
Lak;lbe
Ladakhi;lbj
Central Bontoc;lbk
Libon Bikol;lbl
Laven;lbo
Wampar;lbq
Labu;lbu
Lavatbura-Lamusong;lbv
Tolaki;lbw
Lawangan;lbx
Lardil;lbz
Legenyem;lcc
Lola;lcd
Lisela;lcl
Tungag;lcm
Western Lawa;lcp
Luhu;lcq
Kla;lda
Idun;ldb
Lenyima;ldg
Láadan;ldn
Lufu;ldq
Lendu;led
Leipon;lek
Nomaande;lem
Honduran Lenca;len
Mengisa;leo
Lepcha;lep
Lenkau;ler
Lesing-Gelimi;let
Kara (New Guinea);leu
Ledo Kaili;lew
Luang;lex
Lezgi;lez
Lingua Franca Nova;lfn
Lungga;lga
Laghu;lgb
Lengilu;lgi
Neverver;lgk
Logba;lgq
Lengo;lgr
Pahi;lgt
Lahanan;lhn
Mlahsö;lhs
Lo-Toga;lht
Lahu;lhu
Likum;lib
Hlai;lic
Nyindrou;lid
Limbu;lif
Lihir;lih
Ligurian;lij
Lillooet;lil
Liki;lio
Liberian Kreyol;lir
Lisu;lis
Livonian;liv
Banda-Bambari;liy
Golpa;lja
Li'o;ljl
Lampung Api;ljp
Lakalei;lka
Kabras;lkb
Lakondê;lkd
Laki;lki
Remun;lkj
Lakon;lkn
Kisa;lks
Lakota;lkt
Lolo;llb
Ladin;lld
Lele (Papua New Guinea);lle
Hermit;llf
Lelak;llk
North Efate;llp
Lau;llu
Lauan;llx
Merei;lmb
Lamogai;lmg
Lambichhong;lmh
Raga;lml
Lambadi;lmn
Lombard;lmo
Limbum;lmp
Lamenu;lmu
Lomaiviti;lmv
Lake Miwok;lmw
Laboya;lmy
Lun Bawang;lnd
Linngithigh;lnj
Langam;lnm
Lorediakarkar;lnn
Longuda;lnu
Lanima;lnw
Loloda;loa
Inonhan;loc
Berawan;lod
Lou;loj
Loko;lok
Mongo;lol
Loma;lom
Malawi Lomwe;lon
Loniu;los
Louisiana Creole;lou
Loun;lox
Lozi;loz
Lelepa;lpa
Lipo;lpo
Northern Luri;lrc
Laurentian;lre
Larestani;lrl
Marama;lrm
Larantuka Malay;lrt
Larëvat;lrv
Lemerig;lrz
Lishana Deni;lsd
Lashi;lsi
Aruop;lsr
Lasi;lss
Middle Chinese;ltc
Latgalian;ltg
Leti;lti
Latundê;ltn
Olutsotso;lto
Luba-Kasai;lua
Aringa;luc
Ludian;lud
Luvale;lue
Leizhou Min;luh
Luiseño;lui
Lunanakha;luk
Lunda;lun
Luo;luo
Lucumí;luq
Mizo;lus
Lushootseed;lut
Lumba-Yakkha;luu
Luwati;luv
Luhya;luy
Southern Luri;luz
Lawi;lvi
Lavukaleve;lvk
Lwel;lvl
Eastern Lawa;lwl
Luwo;lwo
Lewo;lww
Layakha;lya
Literary Chinese;lzh
Litzlitz;lzl
Laz;lzz
