San Jerónimo Tecóatl Mazatec;maa
Yutanduchi Mixtec;mab
Madurese;mad
Bo-Rukul;mae
Mafa;maf
Magahi;mag
Maithili;mai
Jalapa de Díaz Mazatec;maj
Makasar;mak
Mam;mam
Mandingo;man
Chiquihuitlán Mazatec;maq
Maasai;mas
Matlatzinca;mat
Huautla Mazatec;mau
Sateré-Mawé;mav
Mampruli;maw
North Moluccan Malay;max
Central Mazahua;maz
Higaonon;mba
Western Bukidnon Manobo;mbb
Macushi;mbc
Dibabawon Manobo;mbd
Molale;mbe
Baba Malay;mbf
Mangseng;mbh
Ilianen Manobo;mbi
Nadëb;mbj
Malol;mbk
Maxakalí;mbl
Ombamba;mbm
Macaguán;mbn
Mbo (Cameroon);mbo
Wiwa;mbp
Nukak Makú;mbr
Sarangani Manobo;mbs
Matigsalug Manobo;mbt
Mbula-Bwazza;mbu
Mbulungish;mbv
Sepik Mari;mbx
Memoni;mby
Amoltepec Mixtec;mbz
Maca;mca
Machiguenga;mcb
Sharanahua;mcd
Itundujia Mixtec;mce
Matsés;mcf
Mapoyo;mcg
Ye'kwana;mch
Mvanip;mcj
Mbunda;mck
Macaguaje;mcl
Kristang;mcm
Coatlán Mixe;mco
Ese;mcq
Cameroon Mambila;mcu
Mawa;mcw
Mada (Nigeria);mda
Bura Mabang;mde
Moksha;mdf
Maguindanao;mdh
Mayogo;mdm
Mandar;mdr
Santa Lucía Monteverde Mixtec;mdv
Dizin;mdx
Suruí Do Pará;mdz
Menka;mea
Ikobi-Mena;meb
Southwestern Tlaxiaco Mixtec;meh
Midob;mei
Central Melanau;mel
Mende;men
Kedah Malay;meo
Miriwung;mep
Merey;meq
Meru;mer
Mato;met
Motu;meu
Mano;mev
Maaka;mew
Hassaniya Arabic;mey
Menominee;mez
Pattani Malay;mfa
Bangka;mfb
Mba;mfc
Mendankwe-Nkwen;mfd
Mauritian Creole;mfe
Naki;mff
Matal;mfh
Wandala;mfi
North Mofu;mfk
Cross River Mbembe;mfn
Mbe;mfo
Makassar Malay;mfp
Moba;mfq
Marrithiyel;mfr
Mexican Sign Language;mfs
Mokerang;mft
Mbwela;mfu
Mayo;mfy
Middle Irish;mga
Morokodo;mgc
Mango;mge
Makhuwa-Meetto;mgh
Abureni;mgj
Mambae;mgm
Mbangi;mgn
Meta';mgo
Eastern Magar;mgp
Malila;mgq
Mambwe-Lungu;mgr
Mongol;mgt
Matengo;mgv
Matumbi;mgw
Manda (India);mha
Mbugu;mhd
Besisi;mhe
Mamaa;mhf
Mogholi;mhj
Mungaka;mhk
Mòcheno;mhn
Mashi;mho
Balinese Malay;mhp
Mandan;mhq
Eastern Mari;mhr
Buru (Indonesia);mhs
Taraon;mhu
Lhao Vo;mhx
Ma'anyan;mhy
Mor (Austronesian);mhz
Miami;mia
Atatláhuca Mixtec;mib
Mi'kmaq;mic
Mandaic;mid
Ocotepec Mixtec;mie
Mofu-Gudur;mif
San Miguel el Grande Mixtec;mig
Chayuco Mixtec;mih
Chigmecatitlán Mixtec;mii
Mungbam;mij
Mikasuki;mik
Peñoles Mixtec;mil
Alacatlatzala Mixtec;mim
Minangkabau;min
Pinotepa Nacional Mixtec;mio
Apasco-Apoala Mixtec;mip
Miskito;miq
Isthmus Mixe;mir
Southern Puebla Mixtec;mit
Cacaloxtepec Mixtec;miu
Akoye;miw
Mixtepec Mixtec;mix
Ayutla Mixtec;miy
Coatzospan Mixtec;miz
Makalero;mjb
San Juan Colorado Mixtec;mjc
Northwest Maidu;mjd
Kim Mun;mji
Matukar;mjk
Mandeali;mjl
Medebur;mjm
Malavedan;mjr
Miship;mjs
Sawriya Paharia;mjt
Mannan;mjv
Karbi;mjw
Mahican;mjy
Mal Paharia;mkb
Siliput;mkc
Miya;mkf
Dhatki;mki
Mokilese;mkj
Mokole;mkl
Kupang Malay;mkn
Bay Miwok;mkq
Silacayoapan Mixtec;mks
Vamale;mkt
Mav̋ea;mkv
Cinamiguin Manobo;mkx
East Makian;mky
Makasae;mkz
Tamambo;mla
Mbule;mlb
Caolan;mlc
Manambu;mle
Malua Bay;mll
Mulam;mlm
Malango;mln
Bargam;mlp
To'abaita;mlu
Mwotlap;mlv
Moloko;mlw
Malfaxal;mlx
Michoacán Mazahua;mmc
Maonan;mmd
Tirax;mme
Mundat;mmf
North Ambrym;mmg
Mehináku;mmh
Maii;mmm
Mamanwa;mmn
Mangga Buang;mmo
Aisi;mmq
Western Xiangxi Miao;mmr
Malalamai;mmt
Mmaala;mmu
Miriti;mmv
Emae;mmw
Madak;mmx
Migaama;mmy
Mbula;mna
Muna;mnb
Manchu;mnc
Mondé;mnd
Mundani;mnf
Eastern Mnong;mng
Mono (Congo);mnh
Manipuri;mni
Munji;mnj
Mandinka;mnk
Tiale;mnl
Northern Min;mnp
Mono (California);mnr
Maykulan;mnt
Rennellese;mnv
Mon;mnw
Manyawa;mny
Mwan;moa
Mocoví;moc
Mobilian;mod
Montagnais;moe
Mongondow;mog
Mohawk;moh
Monzombo;moj
Mopan Maya;mop
Moro;mor
Moore;mos
Barí;mot
Mogum;mou
Mojave;mov
Moi (Congo);mow
Molima;mox
Mpoto;mpa
Machinere;mpd
Maung;mph
Mpade;mpi
Martu Wangka;mpj
Middle Watut;mpl
Yosondúa Mixtec;mpm
Mindiri;mpn
Miu;mpo
Matís;mpq
Vangunu;mpr
Dadibi;mps
Mian;mpt
Makuráp;mpu
Mungkip;mpv
Mapidian;mpw
Misima-Paneati;mpx
Mapia;mpy
Mbuko;mqb
Mangole;mqc
Tlazoyaltepec Mixtec;mqh
Mamasa;mqj
South Marquesan;mqm
Moronene;mqn
Manipa;mqp
West Makian;mqs
Mosimo;mqv
Murupi;mqw
Mamuju;mqx
Manggarai;mqy
Malasanga;mqz
Sungwadia;mrb
Maricopa;mrc
Western Magar;mrd
Martha's Vineyard Sign Language;mre
Mising;mrg
Mara Chin;mrh
Western Mari;mrj
Hmwaveke;mrk
Mortlockese;mrl
Mwerlap;mrm
Cheke Holo;mrn
Mru;mro
Morouas;mrp
North Marquesan;mrq
Hill Maria;mrr
Maragus;mrs
Margi;mrt
