Pareci;pab
Pacoh;pac
Paumarí;pad
Pagibete;pae
Paranawát;paf
Pangasinan;pag
Tenharim;pah
Pe;pai
Parakanã;pak
Middle Persian;pal
Kapampangan;pam
Northern Paiute;pao
Papiamentu;pap
Panamint;par
Papasena;pas
Palauan;pau
Wari';pav
Pawnee;paw
Pech;pay
Patamona;pbc
Mezontla Popoloca;pbe
Coyotepec Popoloca;pbf
Paraujano;pbg
Panare;pbh
Podoko;pbi
Mak (Nigeria);pbl
Puebla Mazatec;pbm
Kpasam;pbn
Papel;pbo
Badyara;pbp
Pangwa;pbr
Central Pame;pbs
Pnar;pbv
Pyu (New Guinea);pby
Santa Inés Ahuatempan Popoloca;pca
Pear;pcb
Bouyei;pcc
Picard;pcd
Ruching Palaung;pce
Duruwa;pci
Nigerian Pidgin;pcm
Piti;pcn
Pacahuara;pcp
Anam;pda
Pennsylvania German;pdc
Fedan;pdn
Padoe;pdo
Plautdietsch;pdt
Kayan;pdu
Peranakan Indonesian;pea
Eastern Pomo;peb
Mala (New Guinea);ped
Northeastern Pomo;pef
Pengo;peg
Bonan;peh
Chichimeca-Jonaz;pei
Northern Pomo;pej
Penchal;pek
Phende;pem
Old Persian;peo
Southern Pomo;peq
Pémono;pev
Petats;pex
Eastern Penan;pez
Pááfang;pfa
Peere;pfe
Juba Arabic;pga
Gandhari;pgd
Pangwali;pgg
Pagi;pgi
Rerep;pgk
Primitive Irish;pgl
Paelignian;pgn
Pangseng;pgs
Pagu;pgu
Phake;phk
Phalura;phl
Phimbi;phm
Phoenician;phn
Pahari-Potwari;phr
Phu Thai;pht
Phangduwali;phw
Pima Bajo;pia
Yine;pib
Pinji;pic
Piro;pie
Pingelapese;pif
Pisabo;pig
Pitcairn-Norfolk;pih
Powhatan;pim
Piapoco;pio
Piratapuyo;pir
Pijin;pis
Pitta-Pitta;pit
Pintupi-Luritja;piu
Pileni;piv
Pije;piz
Pitjantjatjara;pjt
Kipfokomo;pkb
Baekje;pkc
Pökoot;pko
Pukapukan;pkp
Attapady Kurumba;pkr
Polonombauk;plb
Central Palawano;plc
Palu'e;ple
Pilagá;plg
Kohistani Shina;plk
Shwe Palaung;pll
Palenquero;pln
Oluta Popoluca;plo
Palaic;plq
Palaka Senoufo;plr
San Marcos Tlalcoyalco Popoloca;pls
Palikur;plu
Southwest Palawano;plv
Brooke's Point Palawano;plw
Bolyu;ply
Paamese;pma
Pambia;pmb
Pallanganmiddang;pmd
Pwaamèi;pme
Pamona;pmf
Pamlico;pmk
Sabir;pml
Pol;pmm
Pom;pmo
Northern Pame;pmq
Piedmontese;pms
Tuamotuan;pmt
Plains Miwok;pmw
Papuan Malay;pmy
Southern Pame;pmz
Punan Bah-Biau;pna
Western Penan;pne
Penrhyn;pnh
Aoheng;pni
Paunaka;pnk
Paleni;pnl
Panobo;pno
Pana (West Africa);pnq
Ponosakan;pns
Pontic Greek;pnt
Pinigura;pnv
Panyjima;pnw
Pinyin;pny
Pana (Central Africa);pnz
Poqomam;poc
San Juan Atzingo Popoloca;poe
Potiguára;pog
Poqomchi';poh
Highland Popoluca;poi
Pokangá;pok
Southeastern Pomo;pom
Pohnpeian;pon
Central Pomo;poo
Pwapwâ;pop
Texistepec Popoluca;poq
Sayula Popoluca;pos
Potawatomi;pot
Guinea-Bissau Creole;pov
San Felipe Otlaltepec Popoloca;pow
Polabian;pox
Paipai;ppi
Uma;ppk
Pipil;ppl
Papuma;ppm
Papapana;ppn
Folopa;ppo
San Luís Temalacayuca Popoloca;pps
Pa;ppt
Papora;ppu
Malecite-Passamaquoddy;pqm
Prakrit;pra
Parachi;prc
Principense;pre
Old Prussian;prg
Paicî;pri
Parauk;prk
Old Occitan;pro
Ashéninka Perené;prq
Central Malay;pse
Southwest Pashayi;psh
Southeast Pashayi;psi
Pauserna;psm
Port Sandwich;psw
Pai Tavytera;pta
Patani;ptn
Zo'é;pto
Patep;ptp
Piamatsina;ptr
Bambam;ptu
Port Vato;ptv
Pentlatch;ptw
Purepecha;pua
Purum;pub
Puoc;puo
Putoh;put
Punu;puu
Puluwat;puw
Purisimeño;puy
Pawaia;pwa
Panawa;pwb
Gapapaiwa;pwg
Patwin;pwi
Molbog;pwm
Paiwan;pwn
Western Pwo;pwo
Powari;pwr
Northern Pwo;pww
Quetzaltepec Mixe;pxm
Fyam;pym
Puyuma;pyu
Pazeh;pzh
Para Naga;pzn
