Quapaw;sio-dhe
K'iche';myn
Quileute;chi
Sipakapense;myn
Quinault;sal
Sacapulteco;myn
Classical Quechua;qwe
Kipchak;trk-kip
Kwalhioqua-Tlatskanai;ath-nor
Southern Qiang;sit-qia
Quenya;art
Quiripi;alg-eas
Chamling;sit-kic
Rasawa;paa-lkp
Rade;cmc
Logooli;bnt-lok
Rabha;tbq-bdg
Ramoaaina;poz-ocw
Tulu-Bohuai;poz-aay
Ralte;tbq-kuk
Canela;sai-nje
Riantana;ngf
Rao;paa
Rapa Nui;poz-pep
Rarotongan;poz-pep
Tegali;nic-ras
Razajerdi;xme-ttc
Raute;sit-gma
Rawang;sit-nng
Rumai Palaung;mkh-pal
Northern Bontoc;phi
Miraya Bikol;phi
Réunion Creole French;crp
Rudbari;xme
Rembong;poz-cet
Rejang Kayan;poz
Rejang;poz
Rendille;cus-som
Remo;sai-pan
Reyesano;sai-tac
Roria;poz-vnn
Romano-Greek;qfa-mix
Romagnol;roa-emr
Resígaro;awd
Rohingya;inc-bas
Tarifit;ber
Nyaturu;bnt-tkm
Nungu;nic-nin
Ribun;day
Ritarungo;aus-yol
Riung;poz-cet
Rajong;poz-cet
Rajbanshi;inc-krd
Kraol;mkh-ban
Rikbaktsa;sai-mje
Rakahanga-Manihiki;poz-pep
Rakhine;tbq-brm
Marka;dmn-wmn
Kamta;inc-krd
Arakwal;aus-pam
Rembarunga;aus-gun
Carpathian Romani;inc-rom
Traveller Danish;qfa-mix
Angloromani;qfa-mix
Kalo Finnish Romani;inc-rom
Traveller Norwegian;qfa-mix
Lomavren;qfa-mix
Romkun;paa
Baltic Romani;inc-rom
Balkan Romani;inc-rom
Sinte Romani;inc-rom
Caló;qfa-mix
Domari;inc-cen
Tavringer Romani;qfa-mix
Romanova;art
Welsh Romani;inc-rom
Vlax Romani;inc-rom
Marma;tbq-brm
Ronga;bnt-tsr
Roon;poz-hce
Rungwa;bnt-mwi
Tae';poz-ssw
Cacgia Roglai;cmc
Rombo;bnt-chg
Northern Roglai;cmc
Romblomanon;phi
Romani;inc-rom
Rotokas;paa-nbo
Australian Kriol;crp
Repanbitip;poz-vnc
Roro;poz-ocw
Romano-Serbian;qfa-mix
Pannonian Rusyn;zlw
Ratahan;phi
Rotuman;poz-pcc
Gungu;bnt-glb
Carpathian Rusyn;zle
Luguru;bnt-ruv
Roviana;poz-ocw
Istro-Romanian;roa-eas
Aromanian;roa-eas
Megleno-Romanian;roa-eas
Rutul;cau-wsm
Amba;bnt-kbi
Rawa;ngf-fin
Northern Amami Ōshima;jpx-nry
Yaeyama;jpx-sry
Okinawan;jpx-nry
Razihi;sem-osa
Saba;cdc-est
Buglere;cba
Fox;alg-sfk
Sandawe;qfa-iso
Sabanê;sai-nmk
Safaliba;nic-mre
Yakut;trk-nsb
Sahu;paa-nha
Sake;bnt-kel
Samaritan Aramaic;sem-arw
Sause;paa-tkw
Sasak;poz-bss
Santali;mun
Saafi-Saafi;alv-cng
Sawi;ngf
Sa;poz-vnn
Saya;cdc-wst
Saurashtra;inc-wes
Ngambay;csu-sar
Gele';poz-aay
Southern Samo;dmn-sam
Shabo;ssa
Sori-Harengan;poz-aay
Seti;qfa-tor
Safwa;bnt-mby
Botolan Sambal;phi
Sagala;bnt-ruv
Sindhi Bhil;inc-snd
Sangu (Tanzania);bnt-bki
Subiya;bnt-bot
Sabine;itc-sbl
Simba;bnt-tso
Soli;bnt-bot
Sara Kaba;csu-kab
Chut;mkh-vie
Dongxiang;xgn-shr
San Miguel Creole French;crp
Sri Lankan Creole Malay;crp
Sadri;inc-bih
Shina;inc-shn
Sicilian;roa-itr
Scots;gmw-ang
Yolmo;sit-kyk
North Slavey;den
Sheni;nic-jer
Sha;cdc-wst
Sicel;itc
Toraja-Sa'dan;poz-ssw
Shabak;ira-zgr
Sassarese;roa-itr
Surubu;nic-kau
Sarli;ira-zgr
Southern Kurdish;ku-Arab
Suundi;bnt-kng
Sos Kundi;paa-spk
Gallurese;roa-itr
Bukar-Sadung Bidayuh;day
Semai;mkh-asl
Sechelt;sal
Sedang;mkh-nbn
Seneca;iro-nor
Segeju;bnt-mij
Sena;bnt-sna
Seri;qfa-iso
Sekani;ath-nor
Serrano;azc-tak
Koyraboro Senni;son
Sentani;paa-sen
Serui-Laut;poz-hce
Secoya;sai-tuc
Eastern Subanun;phi
Sehwi;alv-ctn
Old Irish;cel-gae
Mag-Anchi Ayta;phi
Surigaonon;phi
Shughni;ira-shr
Suga;nic-mmb
Singa;bnt-lok
Singpho;sit-jnp
Sangisari;ira-kms
Samogitian;bat-eas
Brokpake;sit-tib
Sebat Bet Gurage;sem-eth
Sursurunga;poz-ocw
Ninam;sai-ynm
Sonde;bnt-pen
Kundal Shahi;inc-shn
Shua;khi-kal
Shoshone;azc-num
Tashelhit;ber
Shilluk;sdv-lon
Shahrudi;xme-ttc
Shan;tai-swe
Shanga;dmn-bbu
Shipibo-Conibo;sai-pan
Sala;bnt-bot
Shi;bnt-shh
Shuswap;sal
Shasta;nai-shs
Chadian Arabic;sem-arb
Shehri;sem-sar
Tachawit;ber
Akkala Sami;smi
Sebop;poz-swa
Sidamo;cus-hec
Simaa;bnt-kav
Paasaal;nic-sis
Sîshëë;poz-cln
Sikiana;sai-prk
Tumulung Sisaala;nic-sis
Sikkimese;sit-tib
Siri;cdc-wst
Sinagen;qfa-tor
Sumariup;paa-spk
Sumau;ngf-mad
Sivandi;xme
Siwi;ber
Epena;sai-chc
Shaojiang Min;zhx-inm
Kildin Sami;smi
Pite Sami;smi
Kemi Sami;smi
Mapun;poz-sbj
Sindarin;art
Xibe;tuw-jrc
Surjapuri;inc-krd
Ter Sami;smi
Ume Sami;smi
Shawnee;alg
Skagit;sal
Saek;tai-nor
Southern Sierra Miwok;nai-utn
Ske;poz-vnn
Mekéns;tup
Sika;poz-cet
Kolibugan Subanon;phi
Sininkere;dmn-man
Saraiki;inc-pan
Maia;ngf-mad
Sakata;bnt-bnm
Sakao;poz-vnn
Skou;paa-msk
Skepi Creole Dutch;crp
Sikaiana;poz-pnp
Sissala;nic-sis
Sholaga;dra-kan
Southern Puget Sound Salish;sal
Salumá;sai-prk
Pangutaran Sama;poz-sbj
Salinan;qfa-iso
Lamaholot;poz-cet
Salar;trk
Selaru;poz-cet
Salampasu;bnt-lun
Southern Sami;smi
Som;ngf-fin
Sama;bnt-kmb
Auwe;paa-brd
Simbali;paa-bng
Lule Sami;smi
Bolinao;phi
Central Sama;poz-sbj
Musasa;inc-eas
Inari Sami;smi
Samaritan Hebrew;sem-can
Simeulue;poz-nws
Skolt Sami;smi
Sumbawa;poz-bss
Samba;bnt-pen
Semnani;xme
Sinaugoro;poz-ocw
Bau Bidayuh;day
Noon;alv-cng
Sanga (Congo);bnt-lub
Sensi;sai-pan
Riverain Sango;crp
Soninke;dmn-snb
Sangil;phi
Siona;sai-tuc
Snohomish;sal
Siane;paa-kag
Sangu (Gabon);bnt-sir
Nahavaq;poz-vnc
Sa'ban;poz-swa
Selee;alv-ntg
Saniyo-Hiyewe;paa-spk
Kou;ngf-mad
Thai Song;tai-swe
Soko;bnt-ske
Songoora;bnt-lgb
Songomeno;bnt-bsh
Sogdian;ira-sgc
Aka (Sudan);sdv-eje
Sokoro;cdc-est
Nsong;bnt-bdz
Songe;bnt-lbn
Somrai;cdc-est
Southern Thai;tai-swe
Sonsorolese;poz-mic
Swo;bnt-mka
Miyobe;alv-sav
Temi;bnt-kka
Sepa (Indonesia);poz-cma
Sepa (New Guinea);poz-ocw
Sengo;paa-spk
Sepen;paa
Sanapaná;sai-mas
Supyire;alv-sma
Sambalpuri;inc-eas
South Picene;itc-sbl
Shama-Sambuga;nic-kmk
Shau;nic-jer
Siculo-Arabic;sem-arb
Soqotri;sem-sar
Squamish;sal
Saruga;ngf-mad
Sora;mun
Sarikoli;ira-shr
Siriano;sai-tuc
Saramaccan;crp
Sranan Tongo;crp
Sirionó;tup-gua
Serer;alv-fwo
Tsuut'ina;ath-nor
Suruí;tup
Waray Sorsogon;phi
Sera;poz-ocw
Shahmirzadi;ira-msh
Southern Sama;poz-sbj
Suba-Simbiti;bnt-lok
Siroi;ngf-mad
Balangingi;poz-sbj
Thao;map
Seimat;poz-aay
Shihhi Arabic;sem-arb
Sausi;ngf-mad
Western Sisaala;nic-sis
Sissano;poz-ocw
So'a;poz-cet
Sinasina;ngf
Susuami;ngf
Shark Bay;poz-vnn
Samberigi;paa-eng
Saho;cus-eas
Sengseng;poz-ocw
Northern Subanen;phi
Seta;qfa-tor
Shelta;qfa-mix
Bulo Stieng;mkh-ban
Matya Samo;dmn-sam
Arammba;ngf
Setaman;ngf-okk
Owa;poz-sls
Stoney;sio-dkt
Southeastern Tepehuan;azc-pim
Saterland Frisian;gmw-fri
Saanich;sal
Shumashti;inc-kun
Silt'e;sem-eth
Satawalese;poz-mic
Siberian Tatar;trk-kno
Suku;bnt-yak
Western Subanon;phi
Suena;ngf
Suganga;ngf-okk
Suki;ngf
Sukuma;bnt-tkm
Mwaghavul;cdc-wst
Susu;dmn-sya
Subtiaba;omq
Puroik;sit-khb
Sumbwa;bnt-glb
Sumerian;qfa-iso
Suyá;sai-nje
Sunwar;sit-kiw
Svan;ccs
Ulau-Suain;poz-ocw
Vincentian Creole English;crp
Slavomolisano;zls
Savosavo;paa
Skalvian;bat-wes
Maore Comorian;bnt-com
Sere;nic-ser
Swabian;gmw-hgm
Sui;qfa-kms
Sira;bnt-sir
Samosa;ngf-mad
Shanenawa;sai-pan
Sharwa;cdc-cbm
Sowa;poz-vnn
Sarua;cdc-est
Suba;bnt-lok
Sighu;bnt-kel
Shixing;sit-nax
Selonian;bat-eas
