Chamling;rab
Rasawa;rac
Rade;rad
Logooli;rag
Rabha;rah
Ramoaaina;rai
Tulu-Bohuai;rak
Ralte;ral
Canela;ram
Riantana;ran
Rao;rao
Rapa Nui;rap
Rarotongan;rar
Tegali;ras
Razajerdi;rat
Raute;rau
Rawang;raw
Rumai Palaung;rbb
Northern Bontoc;rbk
Miraya Bikol;rbl
Réunion Creole French;rcf
Rudbari;rdb
Rembong;reb
Rejang Kayan;ree
Rejang;rej
Rendille;rel
Remo;rem
Reyesano;rey
Roria;rga
Romano-Greek;rge
Romagnol;rgn
Resígaro;rgr
Rohingya;rhg
Tarifit;rif
Nyaturu;rim
Nungu;rin
Ribun;rir
Ritarungo;rit
Riung;riu
Rajong;rjg
Rajbanshi;rjs
Kraol;rka
Rikbaktsa;rkb
Rakahanga-Manihiki;rkh
Rakhine;rki
Marka;rkm
Kamta;rkt
Arakwal;rkw
Rembarunga;rmb
Carpathian Romani;rmc
Traveller Danish;rmd
Angloromani;rme
Kalo Finnish Romani;rmf
Traveller Norwegian;rmg
Lomavren;rmi
Romkun;rmk
Baltic Romani;rml
Balkan Romani;rmn
Sinte Romani;rmo
Caló;rmq
Domari;rmt
Tavringer Romani;rmu
Romanova;rmv
Welsh Romani;rmw
Vlax Romani;rmy
Marma;rmz
Ronga;rng
Roon;rnn
Rungwa;rnw
Tae';rob
Cacgia Roglai;roc
Rombo;rof
Northern Roglai;rog
Romblomanon;rol
Romani;rom
Rotokas;roo
Australian Kriol;rop
Repanbitip;rpn
Roro;rro
Romano-Serbian;rsb
Pannonian Rusyn;rsk
Ratahan;rth
Rotuman;rtm
Gungu;rub
Carpathian Rusyn;rue
Luguru;ruf
Roviana;rug
Istro-Romanian;ruo
Aromanian;rup
Megleno-Romanian;ruq
Rutul;rut
Amba;rwm
Rawa;rwo
Northern Amami Ōshima;ryn
Yaeyama;rys
Okinawan;ryu
Razihi;rzh
