Saba;saa
Buglere;sab
Fox;sac
Sandawe;sad
Sabanê;sae
Safaliba;saf
Yakut;sah
Sahu;saj
Sake;sak
Samaritan Aramaic;sam
Sause;sao
Sasak;sas
Santali;sat
Saafi-Saafi;sav
Sawi;saw
Sa;sax
Saya;say
Saurashtra;saz
Ngambay;sba
Gele';sbc
Southern Samo;sbd
Shabo;sbf
Sori-Harengan;sbh
Seti;sbi
Safwa;sbk
Botolan Sambal;sbl
Sagala;sbm
Sindhi Bhil;sbn
Sangu (Tanzania);sbp
Subiya;sbs
Sabine;sbv
Simba;sbw
Soli;sby
Sara Kaba;sbz
Chut;scb
Dongxiang;sce
San Miguel Creole French;scf
Sri Lankan Creole Malay;sci
Sadri;sck
Shina;scl
Sicilian;scn
Scots;sco
Yolmo;scp
North Slavey;scs
Sheni;scv
Sha;scw
Sicel;scx
Toraja-Sa'dan;sda
Shabak;sdb
Sassarese;sdc
Surubu;sde
Sarli;sdf
Southern Kurdish;sdh
Suundi;sdj
Sos Kundi;sdk
Gallurese;sdn
Bukar-Sadung Bidayuh;sdo
Semai;sea
Sechelt;sec
Sedang;sed
Seneca;see
Segeju;seg
Sena;seh
Seri;sei
Sekani;sek
Serrano;ser
Koyraboro Senni;ses
Sentani;set
Serui-Laut;seu
Secoya;sey
Eastern Subanun;sfe
Sehwi;sfw
Old Irish;sga
Mag-Anchi Ayta;sgb
Surigaonon;sgd
Shughni;sgh
Suga;sgi
Singa;sgm
Singpho;sgp
Sangisari;sgr
Samogitian;sgs
Brokpake;sgt
Sebat Bet Gurage;sgw
Sursurunga;sgz
Ninam;shb
Sonde;shc
Kundal Shahi;shd
Shua;shg
Shoshone;shh
Tashelhit;shi
Shilluk;shk
Shahrudi;shm
Shan;shn
Shanga;sho
Shipibo-Conibo;shp
Sala;shq
Shi;shr
Shuswap;shs
Shasta;sht
Chadian Arabic;shu
Shehri;shv
Tachawit;shy
Akkala Sami;sia
Sebop;sib
Sidamo;sid
Simaa;sie
Paasaal;sig
Sîshëë;sih
Sikiana;sik
Tumulung Sisaala;sil
Sikkimese;sip
Siri;sir
Sinagen;siu
Sumariup;siv
Sumau;six
Sivandi;siy
Siwi;siz
Epena;sja
Shaojiang Min;sjc
Kildin Sami;sjd
Pite Sami;sje
Kemi Sami;sjk
Mapun;sjm
Sindarin;sjn
Xibe;sjo
Surjapuri;sjp
Ter Sami;sjt
Ume Sami;sju
Shawnee;sjw
Skagit;ska
Saek;skb
Southern Sierra Miwok;skd
Ske;ske
Mekéns;skf
Sika;ski
Kolibugan Subanon;skn
Sininkere;skq
Saraiki;skr
Maia;sks
Sakata;skt
Sakao;sku
Skou;skv
Skepi Creole Dutch;skw
Sikaiana;sky
Sissala;sld
Sholaga;sle
Southern Puget Sound Salish;slh
Salumá;slj
Pangutaran Sama;slm
Salinan;sln
Lamaholot;slp
Salar;slr
Selaru;slu
Salampasu;slx
Southern Sami;sma
Som;smc
Sama;smd
Auwe;smf
Simbali;smg
Lule Sami;smj
Bolinao;smk
Central Sama;sml
Musasa;smm
Inari Sami;smn
Samaritan Hebrew;smp
Simeulue;smr
Skolt Sami;sms
Sumbawa;smw
Samba;smx
Semnani;smy
Sinaugoro;snc
Bau Bidayuh;sne
Noon;snf
Sanga (Congo);sng
Sensi;sni
Riverain Sango;snj
Soninke;snk
Sangil;snl
Siona;snn
Snohomish;sno
Siane;snp
Sangu (Gabon);snq
Nahavaq;sns
Sa'ban;snv
Selee;snw
Saniyo-Hiyewe;sny
Kou;snz
Thai Song;soa
Soko;soc
Songoora;sod
Songomeno;soe
Sogdian;sog
Aka (Sudan);soh
Sokoro;sok
Nsong;soo
Songe;sop
Somrai;sor
Southern Thai;sou
Sonsorolese;sov
Swo;sox
Miyobe;soy
Temi;soz
Sepa (Indonesia);spb
Sepa (New Guinea);spe
Sengo;spk
Sepen;spm
Sanapaná;spn
Supyire;spp
Sambalpuri;spv
South Picene;spx
Shama-Sambuga;sqa
Shau;sqh
Siculo-Arabic;sqr
Soqotri;sqt
Squamish;squ
Saruga;sra
Sora;srb
Sarikoli;srh
Siriano;sri
Saramaccan;srm
Sranan Tongo;srn
Sirionó;srq
Serer;srr
Tsuut'ina;srs
Suruí;sru
Waray Sorsogon;srv
Sera;sry
Shahmirzadi;srz
Southern Sama;ssb
Suba-Simbiti;ssc
Siroi;ssd
Balangingi;sse
Thao;ssf
Seimat;ssg
Shihhi Arabic;ssh
Sausi;ssj
Western Sisaala;ssl
Sissano;sso
So'a;ssq
Sinasina;sst
Susuami;ssu
Shark Bay;ssv
Samberigi;ssx
Saho;ssy
Sengseng;ssz
Northern Subanen;stb
Seta;stf
Shelta;sth
Bulo Stieng;sti
Matya Samo;stj
Arammba;stk
Setaman;stm
Owa;stn
Stoney;sto
Southeastern Tepehuan;stp
Saterland Frisian;stq
Saanich;str
Shumashti;sts
Silt'e;stv
Satawalese;stw
Siberian Tatar;sty
Suku;sub
Western Subanon;suc
Suena;sue
Suganga;sug
Suki;sui
Sukuma;suk
Mwaghavul;sur
Susu;sus
Subtiaba;sut
Puroik;suv
Sumbwa;suw
Sumerian;sux
Suyá;suy
Sunwar;suz
Svan;sva
Ulau-Suain;svb
Vincentian Creole English;svc
Slavomolisano;svm
Savosavo;svs
Skalvian;svx
Maore Comorian;swb
Sere;swf
Swabian;swg
Sui;swi
Sira;swj
Samosa;swm
Shanenawa;swo
Sharwa;swq
Sowa;sww
Sarua;swy
Suba;sxb
Sighu;sxe
Shixing;sxg
Selonian;sxl
Sangir;sxn
Saaroa;sxr
Sasaru;sxs
Saxwe Gbe;sxw
Central Subanen;syb
Classical Syriac;syc
Seki;syi
Sukur;syk
Sylheti;syl
Maya Samo;sym
Sinyar;sys
Kagate;syw
Osamayi;syx
Semelai;sza
Ngalum;szb
Seru;szd
Seze;sze
Sengele;szg
Silesian;szl
Sula;szn
Suabo;szp
Isubu;szv
Sawai;szw
Sakizaya;szy
