'Are'are;alu
ǃXóõ;nmn
Àhàn;ahn
ǀXam;xam
ǂHoan;huc
Ömie;aom
Önge;oon
ǁAni;hnh
ǁGana;gnk
Áncá;acb
ǁXegwi;xeg
Äiwoo;nfl
Äynu;aib
A'ou;aou
A-Hmao;hmd
A-Pucikwar;apq
Aari;aiw
Aasax;aas
Abé;aba
Aba;utp
Abaga;abg
Abai Sungai;abf
Abanyom;abm
Abau;aau
Abaza;abq
Abenaki;abe
Abenlen Ayta;abp
Abidji;abi
Abinomn;bsa
Abipón;axb
Abishira;ash
Abkhaz;ab
Abom;aob
Abon;abo
Abron;abr
Abu';aah
Abu;ado
Abua;abn
Abui;abz
Abun;kgr
Abung;abl
Abure;abu
Abureni;mgj
Acatepec Me'phaa;tpx
Acehnese;ace
Aché;guq
Achagua;aca
Achang;acn
Acheron;acz
Achi;acr
Acholi;ach
Achuar;acu
Achumawi;acv
Acroá;acs
Adamorobe Sign Language;ads
Adang;adn
Adangbe;adq
Adangme;ada
Adap;adp
Adele;ade
Adhola;adh
Adi;adi
Adioukrou;adj
Adithinngithigh;dth
Adivasi Odia;ort
Adiwasi Garasia;gas
Adja;ajg
Adnyamathanha;adt
Adonara;adr
Aduge;adu
Adyghe;ady
Adzera;adz
Aeka;aez
Aekyom;awi
Aequian;xae
Aer;aeq
Afade;aal
Afar;aa
Afitti;aft
Afrihili;afh
Afrikaans;af
Afro-Seminole Creole;afs
Agarabi;agd
Agariya;agi
Agatu;agc
Agavotaguerra;avo
Aghem;agq
Aghu Tharrnggala;gtu
Aghu;ahh
Aghul;agx
Aghwan;xag
Agi;aif
Agoi;ibm
Aguacateca;agu
Aguaruna;agr
Aguna;aug
Agusan Manobo;msm
Agutaynen;agn
Agwagwune;yay
Ahanta;aha
Ahirani;ahr
Ahom;aho
Ahtna;aht
Ahwai;nfd
Ai-Cham;aih
Aighon;aix
Aikanã;tba
Aiklep;mwg
Aimele;ail
Aimol;aim
Ainbai;aic
Ainu;ain
Aiome;aki
Airoran;air
Aisi;mmq
Aiton;aio
Aja;aja
Ajawa;ajw
Ajië;aji
Ajyíninka Apurucayali;cpc
Ak;akq
Aka-Bea;abj
Aka-Bo;akm
Aka-Cari;aci
Aka-Kede;akx
Aka-Kol;aky
Aka-Kora;ack
Aka (Central Africa);axk
Aka (Sudan);soh
Akan;ak
Akar-Bale;acl
Akaselem;aks
Akatek;knj
Akawaio;ake
Ake;aik
Akebu;keu
Akei;tsr
Akeu;aeu
Akha;ahk
Akhvakh;akv
Akkadian;akk
Akkala Sami;sia
Aklanon;akl
Akolet;akt
Akoose;bss
Akoye;miw
Akpa;akf
Akpes;ibe
Akrukay;afi
Akuku;ayk
Akum;aku
Akuntsu;aqz
Akurio;ako
Akuwagel;bey
Akwa;akw
Alaba;alw
Alabama;akz
Alabat Island Agta;dul
Alacatlatzala Mixtec;mim
Alago;ala
Alagwa;wbj
Alak;alk
Alamblak;amp
Alangan;alj
Alanic;xln
Alapmunte;apv
Alas-Kluet Batak;btz
Alawa;alh
Albanian;sq
Alcozauca Mixtec;xta
Alege;alf
Alekano;gah
Alemannic German;gsw
Aleut;ale
Algerian Arabic;arq
Algonquin;alq
Ali;aiy
Alladian;ald
Allar;all
Alngith;aid
Aloápam Zapotec;zaq
Alorese;aol
Alu Kurumba;xua
Alu;mte
Alugu;aub
Alumu-Tesu;aab
Alune;alp
Alur;alz
Alutiiq;ems
Alutor;alr
Alviri-Vidari;avd
Alyawarr;aly
Ama;amm
Amahai;amq
Amahuaca;amc
Amaimon;ali
Amal;aad
Amanab;amn
Amanayé;ama
Amara;aie
Amarakaeri;amr
Amarasi;aaz
Amatlán Zapotec;zpo
Amba;rwm
Ambai;amk
Ambakich;aew
Ambala Ayta;abc
Ambelau;amv
Ambele;ael
Amblong;alm
Ambo;amb
Ambonese Malay;abs
Ambrak;aag
Ambul;apo
Ambulas;abt
Amdang;amj
Amele;aey
American Sign Language;ase
Amganad Ifugao;ifa
Amharic;am
Ami;amy
Amis;ami
Amo;amo
Amol;alx
Amoltepec Mixtec;mbz
Amondawa;adw
Ampanang;apg
Ampari Dogon;aqd
Amri Karbi;ajz
Amto;amt
Amurdag;amg
Anāl;anm
Ana Tinga Dogon;dti
Anaang;anw
Anakalangu;akg
Anam;pda
Anambé;aan
Anasi;bpo
Ancient Greek;grc
Ancient Ligurian;xlg
Ancient Macedonian;xmk
Ancient North Arabian;xna
Andai;afd
Andajin;ajn
Andalusian Arabic;xaa
Andaman Creole Hindi;hca
Andarum;aod
Andegerebinha;adg
Andh;anr
Andi;ani
Andio;bzb
Andoa;anb
Andoque;ano
Andra-Hus;anx
Aneityum;aty
Anem;anz
Aneme Wake;aby
Angaataha;agm
Angaité;aqt
Angal Enen;aoe
Angal Heneng;akh
Angal;age
Angami;njm
Angguruk Yali;yli
Angika;anp
Angkamuthi;avm
Angkola Batak;akb
Angloromani;rme
Angolar;aoa
Angor;agg
Angoram;aog
Anguthimri;awg
Anii;blo
Animere;anf
Anindilyakwa;aoi
Anjam;boj
Ankave;aak
Anmatyerre;amx
Annobonese;fab
Anong;nun
Anor;anj
Anserma;ans
Ansus;and
Antakarinya;ant
Antigua and Barbuda Creole English;aig
Antillean Creole;gcf
Anu;anl
Anuak;anu
Anufo;cko
Anuki;aui
Anus;auq
Anuta;aud
Anyi;any
Anyin Morofo;mtb
Ao;njo
Aoheng;pni
Aore;aor
Apalaí;apy
Apalachee;xap
Apali;ena
Apasco-Apoala Mixtec;mip
Apatani;apt
Apiaká;api
Apinayé;apn
Apma;app
Aproumu Aizi;ahp
Apurinã;apu
Aputai;apx
Aquitanian;xaq
Arabana;ard
Arabela;arl
Arabic;ar
Aragonese;an
Araki;akr
Arakwal;rkw
Aralle-Tabulahan;atq
Aramaic;arc
Arammba;stk
Aranadan;aaf
Arandai;jbj
Araona;aro
Arapaho;arp
Arapaso;arj
Arara-Karo;arr
Ararandewára;xaj
Araweté;awt
Arawum;awm
Arbore;arv
Archi;aqc
Are;mwc
Areba;aea
Arem;aem
Argentine Sign Language;aed
Argobba;agj
Arguni;agf
Arhö;aok
Arhâ;aqr
Arhuaco;arh
Ari;aac
Aribwatsa;laz
Aribwaung;ylu
Arifama-Miniafia;aai
Arigidi;aqg
Arikapú;ark
Arikara;ari
Arikem;ait
Arin;xrn
Aringa;luc
Armenian;hy
Aromanian;rup
Arop-Lokep;apr
Arop-Sissano;aps
Arosi;aia
Arta;atz
Aruá;arx
Arua;aru
Aruamu;msy
Aruek;aur
Aruop;lsr
As;asz
Asaro'o;mtv
Ashéninka Pajonal;cjo
Ashéninka Perené;prq
Asháninka;cni
Ashe;ahs
Ashkun;ask
Asi;bno
Asilulu;asl
Askopan;eiv
Asoa;asv
Assamese;as
Assan;xss
Assiniboine;asb
Assyrian Neo-Aramaic;aii
Asturian;ast
Asu;aum
Asumboa;aua
Asunción Mixtepec Zapotec;zoo
Asuri;asr
