'Are'are;alu
'Auhelawa;kud
ǃKung;khi-kun
ǃXóõ;nmn
Àhàn;ahn
ǀXam;xam
ǂHoan;huc
ǂKxʼauǁʼein;aue
Ömie;aom
Önge;oon
ǁAni;hnh
ǁGana;gnk
Áncá;acb
ǁXegwi;xeg
Äiwoo;nfl
Äynu;aib
A'ou;aou
A'tong;aot
A-Hmao;hmd
A-Pucikwar;apq
Aari;aiw
Aasax;aas
Abé;aba
Aba;utp
Abaga;abg
Abai Sungai;abf
Abanyom;abm
Abar;mij
Abau;aau
Abaza;abq
Abenaki;abe
Abenlen Ayta;abp
Abewa;aum
Abidji;abi
Abinomn;bsa
Abipón;axb
Abipon;axb
Abishira;ash
Abkhaz;ab
Abom;aob
Abon;abo
Abron;abr
Abu' Arapesh;aah
Abu';aah
Abu;ado
Abua;abn
Abui;abz
Abun;kgr
Abung;abl
Abure;abu
Abureni;mgj
Acadian French;fra-aca
Acatepec Me'phaa;tpx
Acehnese;ace
Aché;guq
Achagua;aca
Achang;acn
Ache;yif
Acheron;acz
Achi;acr
Acholi;ach
Achuar;acu
Achumawi;acv
Acroá;acs
Adabe;adb
Adai;xad
Adamawa Fulfulde;fub
Adamorobe Sign Language;ads
Adang;adn
Adangbe;adq
Adangme;ada
Adap;adp
Adasen;tiu
Adele;ade
Adhola;adh
Adi;adi
Adioukrou;adj
Adithinngithigh;dth
Adivasi Odia;ort
Adivasi Oriya;ort
Adiwasi Garasia;gas
Adja;ajg
Adnyamathanha;adt
Adonara;adr
Aduge;adu
Adyghe;ady
Adzera;adz
Aeka;aez
Aekyom;awi
Aequian;xae
Aer;aeq
Afade;aal
Afghan Sign Language;afg
Afitti;aft
Afra;ulf
Afrihili;afh
Afrikaans;af
Afro-Seminole Creole;afs
Agarabi;agd
Agariya;agi
Agatu;agc
Agavotaguerra;avo
Aghem;agq
Aghu Tharnggalu;ggr
Aghu Tharrnggala;gtu
Aghu;ahh
Aghul;agx
Aghwan;xag
Agi;aif
Agob;kit
Agoi;ibm
Aguacateca;agu
Aguacateco;agu
Aguano;aga
Aguaruna;agr
Aguna;aug
Agusan Manobo;msm
Agutaynen;agn
Agwagwune;yay
Ahanta;aha
Aheu;thm
Ahirani;ahr
Ahom;aho
Ahtna;aht
Ahwai;nfd
Ai-Cham;aih
Aighon;aix
Aikanã;tba
Aiklep;mwg
Aimaq;aiq
Aimele;ail
Aimol;aim
Ainbai;aic
Ainu;ain
Aiome;aki
Airoran;air
Aisi;mmq
Aiton;aio
Aiwoo;nfl
Aja;aja
Ajawa;ajw
Ajië;aji
Ajyíninka Apurucayali;cpc
Ak;akq
Aka-Bea;abj
Aka-Bo;akm
Aka-Cari;aci
Aka-Jeru;akj
Aka-Kede;akx
Aka-Kol;aky
Aka-Kora;ack
Aka (Central Africa);axk
Aka (Sudan);soh
Aka;soh
Akan;ak
Akar-Bale;acl
Akaselem;aks
Akatek;knj
Akawaio;ake
Ake;aik
Akebu;keu
Akei;tsr
Akeu;aeu
Akha;ahk
Akhvakh;akv
Akkadian;akk
Akkala Sami;sia
Aklanon;akl
Akolet;akt
Akoose;bss
Akoye;miw
Akpa;akf
Akpes;ibe
Akrukay;afi
Akuku;ayk
Akum;aku
Akuntsu;aqz
Akurio;ako
Akuwagel;bey
Akwa;akw
Al-Sayyid Bedouin Sign Language;syy
Alaba;alw
Alabama;akz
Alabat Island Agta;dul
Alacatlatzala Mixtec;mim
Alago;ala
Alagwa;wbj
Alak;alk
Alamblak;amp
Alangan;alj
Alanic;xln
Alapmunte;apv
Alas-Kluet Batak;btz
Alawa;alh
Albanian Sign Language;sqk
Albanian;sq
Alcozauca Mixtec;xta
Alege;alf
Alekano;gah
