Lower Tanana;taa
Tabasaran;tab
Lowland Tarahumara;tac
Tause;tad
Tariana;tae
Tapirapé;taf
Tagoi;tag
Eastern Tamang;taj
Tala;tak
Tal;tal
Tangale;tan
Yami;tao
Taabwa;tap
Central Tarahumara;tar
Tây Bồi;tas
Upper Tanana;tau
Tatuyo;tav
Tai;taw
Tamki;tax
Atayal;tay
Tocho;taz
Aikanã;tba
Takia;tbc
Kaki Ae;tbd
Tanimbili;tbe
Mandara;tbf
Gaam;tbi
Tiang;tbj
Calamian Tagbanwa;tbk
Tboli;tbl
Tawala;tbo
Taworta;tbp
Tanguat;tbs
Kitembo;tbt
Tubar;tbu
Tagbanwa;tbw
Kapin;tbx
Tabaru;tby
Ticuna;tca
Tanacross;tcb
Datooga;tcc
Southern Tutchone;tce
Malinaltepec Tlapanec;tcf
Turks and Caicos Creole English;tch
Taman (Myanmar);tcl
Taungyo;tco
Torres Strait Creole;tcs
Southeastern Tarahumara;tcu
Tecpatlán Totonac;tcw
Toda;tcx
Tulu;tcy
Panchpargania;tdb
Emberá-Tadó;tdc
Tai Nüa;tdd
Western Tamang;tdg
Tomadino;tdi
Tajio;tdj
Tondano;tdn
Doutai;tds
Tetun Dili;tdt
Tadyawan;tdy
Temiar;tea
Tetete;teb
Tehuelche;teh
Torricelli;tei
Tama (Colombia);ten
Ateso;teo
Tepecano;tep
Tereno;ter
Tengger;tes
Tetum;tet
Tewa;tew
Tulishi;tey
Tetserret;tez
Dena'ina;tfn
Tefaro;tfo
Teribe;tfr
Ternate;tft
Tobilung;tgb
Tigak;tgc
Eastern Gorkha Tamang;tge
Chali;tgf
Tobagonian Creole English;tgh
Tandaganon;tgn
Tangoa;tgp
Nume;tgs
Central Tagbanwa;tgt
Tanggu;tgu
Tingui-Boto;tgv
Tagish;tgx
Kuuk Thaayorre;thd
Northern Tarahumara;thh
Thavung;thm
Thompson;thp
Rana Tharu;thr
Tahltan;tht
Tigre;tig
Timugon Murut;tih
