Ubang;uba
Buhi'non Bikol;ubl
Ubir;ubr
Umbu-Ungu;ubu
Ubykh;uby
Udihe;ude
Muduga;udg
Udi;udi
Ujir;udj
Uldeme;udl
Udmurt;udm
Ufim;ufi
Ugaritic;uga
Gong;ugo
Uhami;uha
Iyive;uiv
Muak Sa-aak;ukk
Ukpe-Bayobiri;ukp
Ukue;uku
Ukwuani-Aboh-Ndoni;ukw
Kuuk Yak;uky
Fungwa;ula
Olukumi;ulb
Ulch;ulc
Meriam;ulk
Unserdeutsch;uln
Umatilla;uma
Umbundu;umb
Marrucinian;umc
Umon;umm
Umpila;ump
Munsee;umu
North Watut;una
Undetermined;und
Uneme;une
Ngarinyin;ung
Enawené-Nawé;unk
Unami;unm
Kurnai;unn
Mundari;unr
Munda;unx
Unde Kaili;unz
Uokha;uok
Kulon;uon
Northeast Malakula;upv
Urubú-Kaapor;urb
Uradhi;urf
Urigina;urg
Urhobo;urh
Urim;uri
Urak Lawoi';urk
Urali;url
Uruangnirin;urn
Ura (Papua New Guinea);uro
Uru-Pa-In;urp
Löyöp;urr
Urat;urt
Urumi;uru
Uruava;urv
Sop;urw
Urimo;urx
Orya;ury
Uru-Eu-Wau-Wau;urz
Usarufa;usa
Ushojo;ush
Usaghade;usk
Uspanteco;usp
Saare;uss
Otank;uta
Ute;ute
Hun;uth
Aba;utp
Etulo;utr
Urum;uum
Kulon-Pazeh;uun
Ura (Vanuatu);uur
West Uvean;uve
Uri;uvh
Lote;uvl
Doko-Uyanga;uya
