Ubang;uba
Buhi'non Bikol;ubl
Ubir;ubr
Umbu-Ungu;ubu
Ubykh;uby
Udihe;ude
Muduga;udg
Udi;udi
Ujir;udj
Uldeme;udl
Udmurt;udm
Ufim;ufi
Ugaritic;uga
Gong;ugo
Uhami;uha
Iyive;uiv
Muak Sa-aak;ukk
Ukpe-Bayobiri;ukp
Ukue;uku
Ukwuani-Aboh-Ndoni;ukw
Kuuk Yak;uky
Fungwa;ula
Olukumi;ulb
Ulch;ulc
Meriam;ulk
Unserdeutsch;uln
Umatilla;uma
Umbundu;umb
Marrucinian;umc
Umon;umm
Umpila;ump
Munsee;umu
North Watut;una
Undetermined;und
Uneme;une
Ngarinyin;ung
Enawené-Nawé;unk
Unami;unm
Kurnai;unn
Mundari;unr
Munda;unx
Unde Kaili;unz
Uokha;uok
Kulon;uon
Northeast Malakula;upv
Urubú-Kaapor;urb
Uradhi;urf
Urigina;urg
Urhobo;urh
Urim;uri
Urak Lawoi';urk
Urali;url
Uruangnirin;urn
Ura (Papua New Guinea);uro
Uru-Pa-In;urp
Löyöp;urr
Urat;urt
Urumi;uru
Uruava;urv
Sop;urw
Urimo;urx
Orya;ury
Uru-Eu-Wau-Wau;urz
Usarufa;usa
Ushojo;ush
Usaghade;usk
Uspanteco;usp
Saare;uss
Otank;uta
Ute;ute
Hun;uth
Aba;utp
Etulo;utr
Urum;uum
Kulon-Pazeh;uun
Ura (Vanuatu);uur
West Uvean;uve
Uri;uvh
Lote;uvl
Doko-Uyanga;uya
Vaagri Booli;vaa
Varhadi;vah
Vai;vai
Vao;vao
Huarijio;var
Varli;vav
Southwestern Bontoc;vbk
Venetan;vec
Veddah;ved
Ventureño;veo
Veps;vep
Vaghri;vgr
Virgin Islands Creole;vic
Vili;vif
Bajjika;vjk
Kariyarra;vka
Ija-Zuba;vki
Kulisusu;vkl
Kamakan;vkm
Korlai Creole Portuguese;vkp
Kurrama;vku
Valpei;vlp
West Flemish;vls
Martuthunira;vma
Mbabaram;vmb
Juxtlahuaca Mixtec;vmc
Mudu Koraga;vmd
East Masela;vme
East Franconian;vmf
Minigir;vmg
Maraghei;vmh
Ixtayutla Mixtec;vmj
Makhuwa-Shirima;vmk
Malgana;vml
Mitlatongo Mixtec;vmm
Soyaltepec Mixtec;vmq
Marenje;vmr
Valley Maidu;vmv
Makhuwa;vmw
Tamazola Mixtec;vmx
Mazatlán Mazatec;vmz
Lovono;vnk
Neve'ei;vnm
Vunapu;vnp
Votic;vot
Vera'a;vra
Võro;vro
Burmbar;vrt
Vunjo;vun
Vute;vut
Awa (China);vwa
Walla Walla;waa
Wab;wab
Wasco-Wishram;wac
Wandamen;wad
Wa'ema;wag
Watubela;wah
Waffa;waj
Wolaytta;wal
Massachusett;wam
Wappo;wao
Wapishana;wap
Wageman;waq
Waray-Waray;war
Washo;was
Kaninuwa;wat
Wauja;wau
Waiwai;waw
Watam;wax
Wayana;way
Wampur;waz
Warao;wba
Wabo;wbb
Waritai;wbe
Wanji;wbi
Alagwa;wbj
Waigali;wbk
Wakhi;wbl
Warlpiri;wbp
Wajarri;wbv
Woi;wbw
Yanomam;wca
Wendat;wdt
Wedau;wed
Cameroon Pidgin;wes
Weyewa;wew
Wangganguru;wgg
