Walla Walla;nai-shp
Wab;poz-ocw
Wasco-Wishram;nai-ckn
Wandamen;poz-hce
Wa'ema;poz-ocw
Watubela;poz-cma
Waffa;paa-kag
Wolaytta;omv-nom
Massachusett;alg-eas
Wappo;nai-ykn
Wapishana;awd
Wageman;aus-gun
Waray-Waray;phi
Washo;qfa-iso
Kaninuwa;poz-ocw
Wauja;awd
Waiwai;sai-prk
Watam;paa
Wayana;sai-gui
Wampur;poz-ocw
Warao;qfa-iso
Wabo;poz-hce
Waritai;paa-lkp
Wanji;bnt-bki
Alagwa;cus-sou
Waigali;nur-sou
Wakhi;xsc-skw
Warlpiri;aus-pam
Wajarri;aus-psw
Woi;poz-hce
Yanomam;sai-ynm
Wendat;iro-nor
Wedau;poz-ocw
Cameroon Pidgin;crp
Weyewa;poz-cet
Wangganguru;aus-kar
Wirangu;aus-pam
Warrgamay;aus-pam
Wichita;cdd
Minidien;qfa-tor
Wik-Mungkan;aus-pmn
Winnebago;sio-msv
Wiraféd;tup-gua
Muduapa;poz-ocw
Wiyot;aql
Warji;cdc-wst
Mo;poz-ocw
Mwali Comorian;bnt-com
Wolane;sem-eth
Kunbarlang;aus-gun
Wailaki;ath-pco
Middle Welsh;cel-brw
Wolio;poz-wot
Wailapa;poz-vnn
Wallisian;poz-pnp
Wichí Lhamtés Vejoz;sai-wic
Wali (Ghana);nic-mre
Waling;sit-kic
Wambaya;aus-mir
Mamaindé;sai-nmk
Wambule;sit-kiw
Waima'a;poz-tim
Maiwa (Indonesia);poz
Waamwang;poz-cln
Wam;qfa-tor
Wambon;ngf
Walmajarri;aus-pam
Mwani;bnt-swh
Womo;paa-msk
Wanambre;ngf
Wantoat;ngf-fin
Wandarang;aus-arn
Waneci;ira-pat
Wanggom;ngf
Ndzwani Comorian;bnt-com
Wanukaka;poz
Wanggamala;aus-kar
Wano;ngf
Wanap;qfa-tor
Usan;ngf
Wintu;nai-wtq
Wanyi;aus-gar
Wogeo;poz-ocw
Wolani;ngf
Woleaian;poz-mic
Wogamusin;paa-spk
Kamang;ngf
Longto;alv-dur
Perema;alv-lek
Wongo;bnt-bsh
Manombai;poz
Woria;paa-egb
Hanga Hundi;paa-spk
Wawonii;poz-btk
Warapu;paa-msk
Warluwara;aus-pam
Warungu;aus-pam
Wiradjuri;aus-cww
Wariyangga;aus-psw
Garawa;aus-gar
Warumungu;aus-pam
Waropen;poz-hce
Wusi;poz-vnn
Waskia;ngf-mad
Wasa;alv-ctn
Watiwa;ngf-mad
Wathaurong;aus-pam
Berta;qfa-iso
Mewati;raj
Wudu;alv-gbe
Wutunhua;qfa-mix
Wumbvu;bnt-kel
Bungu;bnt-mby
Wutung;paa-msk
Wu;zhx
Wuvulu-Aua;poz-aay
Waama;nic-eov
Dorig;poz-vnn
Wawa;nic-mmb
Waxiang;zhx
Wyandot;iro-nor
Ngiyambaa;aus-cww
Woiwurrung;aus-pam
Vilamovian;gmw-hgm
Western Fijian;poz-pcc
Andalusian Arabic;sem-arb
Sambe;nic-alu
Aequian;itc
Aghwan;cau-esm
Ararandewára;tup-gua
Kalmyk;xgn-cen
ǀXam;khi-tuu
Xamtanga;cus-cen
Apalachee;nai-mus
Aquitanian;euq
Kamassian;syd
Xavante;sai-cje
Kawaiisu;azc-num
Bactrian;ira-sbc
Bigambal;aus-pam
Kombio;qfa-tor
Birrpayi;aus-yuk
Middle Breton;cel-brs
Bulgar;trk-ogr
Kambera;poz-cet
Celtiberian;cel-his
Chemakum;chi
Old Armenian;hyx
Khwarezmian;ira-sbc
Carian;ine-luw
Classical Tibetan;sit-tib
Curonian;bat
Chuvan;qfa-yuk
Darkinjung;aus-yuk
Dacian;ine
Dharug;aus-yuk
Edomite;sem-can
Kaitag;cau-drg
Eblaite;sem-eas
Hdi;cdc-cbm
ǁXegwi;khi-tuu
Xerénte;sai-cje
Kesawai;ngf-mad
Xetá;tup-gua
Faliscan;itc-laf
Galatian;cel
Gbin;dmn-mse
Gabrielino-Fernandeño;azc-tak
Galindian;bat
Unggumi;aus-wor
Hadrami;sem-osa
Khetrani;inc-pan
Middle Khmer;mkh-kmr
Hernican;itc-sbl
Hattic;qfa-iso
Hurrian;qfa-hur
Iberian;qfa-iso
Xinca;nai-xin
Illyrian;ine
Xiriâna;awd
Kisan;dra-kml
Minjungbal;aus-pam
Kalkoti;inc-shn
Manigri-Kambolé Ede Nago;alv-ede
Khoini;xme-ttc
Kereho;poz
Khengkha;sit-ebo
Kajali;xme-ttc
Bakung;poz-swa
Kabatei;xme-ttc
Xakriabá;sai-cje
Kgalagadi;bnt-sts
Kurtöp;sit-ebo
Loup B;alg-eas
Lycian;ine-luw
Lydian;ine-ana
Lemnian;qfa-tyn
Ancient Ligurian;ine
Alanic;xsc-sar
Loup A;alg-eas
Lepontic;cel
Lusitanian;ine
Luwian;ine-luw
Elymian;ine
Mbonga;nic-jrn
Makhuwa-Marrevone;bnt-mak
Mbudum;cdc-cbm
Mingrelian;ccs-zan
Mengaka;bai
Kugu-Muminh;aus-pmn
Majera;cdc-cbm
Ancient Macedonian;grk
Manado Malay;crp
Morerebi;tup
Kuku-Mangk;aus-pam
Meroitic;afa
Mori Bawah;poz-btk
Ancient North Arabian;sem-cen
Kanakanabu;map
Middle Mongol;xgn
Northern Kankanay;phi
Kangri;him
Narragansett;alg-eas
Nyiyaparli;aus-nga
O'chi'chi';nic-cde
Soga;bnt-nyg
Kominimung;paa
Komo;ssa-kom
Konkomba;nic-grm
Liberia Kpelle;dmn-msw
Phrygian;ine
Pictish;cel-brw
Pumpokol;qfa-yso
Pochutec;azc-nah
Mohegan-Pequot;alg-eas
Parthian;ira-mpr
Punic;sem-can
Buyeo;qfa-kor
Karakhanid;trk-kar
Qatabanian;sem-osa
Arin;qfa-yso
Raetic;qfa-tyn
Sabaean;sem-osa
Sambali;phi
Sidetic;ine-luw
South Slavey;den
Kasem;nic-gnn
Sanga (Nigeria);nic-jer
Makhuwa-Saka;bnt-mak
Sherpa;sit-tib
Assan;qfa-yso
Sudovian;bat-wes
Saisiyat;map
Alcozauca Mixtec;omq-mxt
Chazumba Mixtec;omq-mxt
Kadugli;qfa-kad
Diuxi-Tilantongo Mixtec;omq-mxt
Sinicahua Mixtec;omq-mxt
San Juan Teita Mixtec;omq-mxt
Tijaltepec Mixtec;omq-mxt
Magdalena Peñasco Mixtec;omq-mxt
Northern Tlaxiaco Mixtec;omq-mxt
Tocharian A;ine-toc
San Miguel Piedras Mixtec;omq-mxt
Tumshuqese;xsc-sak
Sindihui Mixtec;omq-mxt
Tacahua Mixtec;omq-mxt
Cuyamecalco Mixtec;omq-mxt
Tawandê;sai-nmk
Yoloxochitl Mixtec;omq-mxt
Alu Kurumba;dra-kan
Betta Kurumba;dra-kan
Umiida;aus-wor
Kunigami;jpx-nry
Jennu Kurumba;dra-kan
Ngunawal;aus-yuk
Umbrian;itc-sbl
Unggaranggu;aus-wor
Upper Umpqua;ath-pco
Urartian;qfa-hur
Khwe;khi-kal
Venetic;ine
Vandalic;gme
Volscian;itc-sbl
Vestinian;itc
Woccon;nai-cat
Wangkumara;aus-pam
Western Xwla Gbe;alv-pph
Written Oirat;xgn-cen
Wemba-Wemba;aus-pam
Tambora;paa
Yalakalore;sai-nmk
Mayi-Thakurti;aus-pam
Yorta Yorta;aus-pam
Zhang-Zhung;sit-alm
Yaminahua;sai-pan
Yuhup;sai-nad
Pass Valley Yali;ngf
Yaka;bnt-yak
Yámana;qfa-iso
Yazghulami;ira-shy
Yagnobi;ira-sgc
Yakima;nai-shp
Yamba;nic-nka
Mayangna;nai-min
Yao;bnt-rvm
Yapese;poz-oce
Yaqui;azc-trc
Yabarana;sai-map
Gunu;nic-ymb
Yambeta;nic-mbw
Yangben;nic-ymb
Yawalapití;awd
Agwagwune;nic-ucn
Lokaa;nic-uce
Yala;alv-ido
Yemba;bai
Western Yugur;trk-ssb
Yakkha;sit-kie
Yamphu;sit-kie
Yabaâna;awd
Lolopo;tbq-llo
Yucuna;awd-nwk
Yilan Creole;crp
Yangum Dey;qfa-tor
Yidgha;ira-mny
Ravula;dra-mal
Yenish;gmw-hgm
Yevanic;grk
Yendang;alv-mye
Tarok;nic-tar
Yeskwa;nic-plc
Yapunda;qfa-tor
Yangum Gel;qfa-tor
Yagomi;ngf-fin
Yagaria;paa-kag
Yagwoia;ngf
Yinggarda;aus-psw
Yidiny;aus-yid
Yindjibarndi;aus-nga
Yindjilandji;aus-pam
Yimchungru Naga;sit-aao
Micha;tbq-llo
Yis;qfa-tor
Yir-Yoront;aus-pmn
Yakan;poz-sbj
Northern Yukaghir;qfa-yuk
Khamnigan Mongol;xgn-cen
Kap;poz-ocw
Yasa;bnt-yko
Yaul;paa
Angguruk Yali;ngf
