Andalusian Arabic;xaa
Sambe;xab
Aequian;xae
Aghwan;xag
Ararandewára;xaj
Kalmyk;xal
ǀXam;xam
Xamtanga;xan
Apalachee;xap
Aquitanian;xaq
Kamassian;xas
Xavante;xav
Kawaiisu;xaw
Bactrian;xbc
Bigambal;xbe
Kombio;xbi
Birrpayi;xbj
Middle Breton;xbm
Bulgar;xbo
Kambera;xbr
Celtiberian;xce
Chemakum;xch
Old Armenian;xcl
Khwarezmian;xco
Carian;xcr
Classical Tibetan;xct
Curonian;xcu
Chuvan;xcv
Darkinjung;xda
Dacian;xdc
Dharug;xdk
Edomite;xdm
Kaitag;xdq
Eblaite;xeb
Hdi;xed
ǁXegwi;xeg
Xerénte;xer
Kesawai;xes
Xetá;xet
Faliscan;xfa
Galatian;xga
Gbin;xgb
Gabrielino-Fernandeño;xgf
Galindian;xgl
Unggumi;xgu
Hadrami;xhd
Khetrani;xhe
Middle Khmer;xhm
Hernican;xhr
Hattic;xht
Hurrian;xhu
Iberian;xib
Xinca;xin
Illyrian;xil
Xiriâna;xir
Kisan;xis
Minjungbal;xjb
Kalkoti;xka
Manigri-Kambolé Ede Nago;xkb
Khoini;xkc
Kereho;xke
Khengkha;xkf
Kajali;xkj
Bakung;xkl
Kabatei;xkp
Xakriabá;xkr
Kgalagadi;xkv
Kurtöp;xkz
Loup B;xlb
Lycian;xlc
Lydian;xld
Lemnian;xle
Ancient Ligurian;xlg
Alanic;xln
Loup A;xlo
Lepontic;xlp
Lusitanian;xls
Luwian;xlu
Elymian;xly
Mbonga;xmb
Makhuwa-Marrevone;xmc
Mbudum;xmd
Mingrelian;xmf
Mengaka;xmg
Kugu-Muminh;xmh
Majera;xmj
Ancient Macedonian;xmk
Manado Malay;xmm
Morerebi;xmo
Kuku-Mangk;xmq
Meroitic;xmr
Mori Bawah;xmz
Ancient North Arabian;xna
Kanakanabu;xnb
Middle Mongol;xng
Northern Kankanay;xnn
Kangri;xnr
Narragansett;xnt
Nyiyaparli;xny
O'chi'chi';xoc
Soga;xog
Kominimung;xoi
Komo;xom
Konkomba;xon
Liberia Kpelle;xpe
Phrygian;xpg
Pictish;xpi
Pumpokol;xpm
Pochutec;xpo
Mohegan-Pequot;xpq
Parthian;xpr
Punic;xpu
Buyeo;xpy
Karakhanid;xqa
Qatabanian;xqt
Arin;xrn
Raetic;xrr
Sabaean;xsa
Sambali;xsb
Sidetic;xsd
South Slavey;xsl
Kasem;xsm
Sanga (Nigeria);xsn
Makhuwa-Saka;xsq
Sherpa;xsr
Assan;xss
Sudovian;xsv
Saisiyat;xsy
Alcozauca Mixtec;xta
Chazumba Mixtec;xtb
Kadugli;xtc
Diuxi-Tilantongo Mixtec;xtd
Sinicahua Mixtec;xti
San Juan Teita Mixtec;xtj
Tijaltepec Mixtec;xtl
Magdalena Peñasco Mixtec;xtm
Northern Tlaxiaco Mixtec;xtn
Tocharian A;xto
San Miguel Piedras Mixtec;xtp
Tumshuqese;xtq
Sindihui Mixtec;xts
Tacahua Mixtec;xtt
Cuyamecalco Mixtec;xtu
Tawandê;xtw
Yoloxochitl Mixtec;xty
Alu Kurumba;xua
Betta Kurumba;xub
Umiida;xud
Kunigami;xug
Jennu Kurumba;xuj
Ngunawal;xul
Umbrian;xum
Unggaranggu;xun
Upper Umpqua;xup
Urartian;xur
Khwe;xuu
Venetic;xve
Vandalic;xvn
Volscian;xvo
Vestinian;xvs
Woccon;xwc
Wangkumara;xwk
Western Xwla Gbe;xwl
Written Oirat;xwo
Wemba-Wemba;xww
Tambora;xxt
Yalakalore;xyl
Mayi-Thakurti;xyt
Yorta Yorta;xyy
Zhang-Zhung;xzh
