Yaminahua;yaa
Yuhup;yab
Pass Valley Yali;yac
Yaka;yaf
Yámana;yag
Yazghulami;yah
Yagnobi;yai
Yakima;yak
Yamba;yam
Mayangna;yan
Yao;yao
Yapese;yap
Yaqui;yaq
Yabarana;yar
Gunu;yas
Yambeta;yat
Yangben;yav
Yawalapití;yaw
Agwagwune;yay
Lokaa;yaz
Yala;yba
Yemba;ybb
Western Yugur;ybe
Yakkha;ybh
Yamphu;ybi
Yabaâna;ybn
Lolopo;ycl
Yucuna;ycn
Yilan Creole;ycr
Yangum Dey;yde
Yidgha;ydg
Ravula;yea
Yenish;yec
Yevanic;yej
Yendang;yen
Tarok;yer
Yeskwa;yes
Yapunda;yev
Yangum Gel;ygl
Yagomi;ygm
Yagaria;ygr
Yagwoia;ygw
Yinggarda;yia
Yidiny;yii
Yindjibarndi;yij
Yindjilandji;yil
Yimchungru Naga;yim
Micha;yiq
Yis;yis
Yir-Yoront;yiy
Yakan;yka
Northern Yukaghir;ykg
Khamnigan Mongol;ykh
Kap;ykm
Yasa;yko
Yaul;yla
Angguruk Yali;yli
Yil;yll
Yalarnnga;ylr
Aribwaung;ylu
Nyelâyu;yly
Yambes;ymb
Yamongeri;ymg
Iamalele;yml
Maay;ymm
Sunum;ymn
Yangum Mon;ymo
Yamap;ymp
Yandruwandha;ynd
Yango;yng
Naukanski;ynk
Yong;yno
Yoba;yob
Yogad;yog
Yonaguni;yoi
Yola;yol
Yombe;yom
Yoron;yox
Tundra Nenets;yrk
Nheengatu;yrl
Ỹaroamë;yro
Jassic;ysc
Sani;ysn
Sirenik;ysr
Yessan-Mayo;yss
Yout Wam;ytw
Yucatec Maya;yua
Cantonese;yue
Havasupai-Walapai-Yavapai;yuf
Yug;yug
Yurutí;yui
Karkar-Yuri;yuj
Yuki;yuk
Yuma;yum
Bena;yun
Yukpa;yup
Yuqui;yuq
Yurok;yur
Yopno;yut
Finisterre Yau;yuw
Southern Yukaghir;yux
East Yugur;yuy
Yuracare;yuz
Yawa;yva
Yavitero;yvt
Kalou;ywa
Yinhawangka;ywg
Yawanawa;ywn
Nasu;ywq
Yawuru;ywr
Yawarawarga;yww
Mayawali;yxa
Yagara;yxg
Yarli;yxl
Yinwum;yxm
Yuyu;yxu
Yabula Yabula;yxy
Torricelli Yau;yyu
Zokhuo;yzk
