Yaminahua;yaa
Yuhup;yab
Pass Valley Yali;yac
Yaka;yaf
Yámana;yag
Yazghulami;yah
Yagnobi;yai
Yakima;yak
Yamba;yam
Mayangna;yan
Yao;yao
Yapese;yap
Yaqui;yaq
Yabarana;yar
Gunu;yas
Yambeta;yat
Yangben;yav
Yawalapití;yaw
Agwagwune;yay
Lokaa;yaz
Yala;yba
Yemba;ybb
Western Yugur;ybe
Yakkha;ybh
Yamphu;ybi
Yabaâna;ybn
Lolopo;ycl
Yucuna;ycn
Yilan Creole;ycr
Yangum Dey;yde
Yidgha;ydg
Ravula;yea
Yenish;yec
Yevanic;yej
Yendang;yen
Tarok;yer
Yeskwa;yes
Yapunda;yev
Yangum Gel;ygl
Yagomi;ygm
Yagaria;ygr
Yagwoia;ygw
Yinggarda;yia
Yidiny;yii
Yindjibarndi;yij
Yindjilandji;yil
Yimchungru Naga;yim
Micha;yiq
Yis;yis
Yir-Yoront;yiy
Yakan;yka
Northern Yukaghir;ykg
Khamnigan Mongol;ykh
Kap;ykm
Yasa;yko
Yaul;yla
Angguruk Yali;yli
Yil;yll
Yalarnnga;ylr
Aribwaung;ylu
Nyelâyu;yly
Yambes;ymb
Yamongeri;ymg
Iamalele;yml
Maay;ymm
Sunum;ymn
Yangum Mon;ymo
Yamap;ymp
Yandruwandha;ynd
Yango;yng
Naukanski;ynk
Yong;yno
Yoba;yob
Yogad;yog
Yonaguni;yoi
Yola;yol
Yombe;yom
Yoron;yox
Tundra Nenets;yrk
Nheengatu;yrl
Ỹaroamë;yro
Jassic;ysc
Sani;ysn
Sirenik;ysr
Yessan-Mayo;yss
Yout Wam;ytw
Yucatec Maya;yua
Cantonese;yue
Havasupai-Walapai-Yavapai;yuf
Yug;yug
Yurutí;yui
Karkar-Yuri;yuj
Yuki;yuk
Yuma;yum
Bena;yun
Yukpa;yup
Yuqui;yuq
Yurok;yur
Yopno;yut
Finisterre Yau;yuw
Southern Yukaghir;yux
East Yugur;yuy
Yuracare;yuz
Yawa;yva
Yavitero;yvt
Kalou;ywa
Yinhawangka;ywg
Yawanawa;ywn
Nasu;ywq
Yawuru;ywr
Yawarawarga;yww
Mayawali;yxa
Yagara;yxg
Yarli;yxl
Yinwum;yxm
Yuyu;yxu
Yabula Yabula;yxy
Torricelli Yau;yyu
Zokhuo;yzk
Sierra de Juárez Zapotec;zaa
San Juan Guelavía Zapotec;zab
Ocotlán Zapotec;zac
Cajonos Zapotec;zad
Yareni Zapotec;zae
Ayoquesco Zapotec;zaf
Zaghawa;zag
Zangwal;zah
Isthmus Zapotec;zai
Zaramo;zaj
Zanaki;zak
Zauzou;zal
Central Mahuatlán Zapoteco;zam
Ozolotepec Zapotec;zao
Zapotec;zap
Aloápam Zapotec;zaq
Rincón Zapotec;zar
Santo Domingo Albarradas Zapotec;zas
Tabaa Zapotec;zat
Zangskari;zau
Yatzachi Zapotec;zav
Mitla Zapotec;zaw
Xadani Zapotec;zax
Zayse-Zergulla;zay
Zari;zaz
Batui;zbt
Coatecas Altas Zapotec;zca
Ngazidja Comorian;zdj
Zealandic;zea
Zenag;zeg
Zenaga;zen
Kinga;zga
Moroccan Amazigh;zgh
Magori;zgr
Zhire;zhi
Nong Zhuang;zhn
Zhoa;zhw
Zia;zia
Zimakani;zik
Zialo;zil
Mesme;zim
Zinza;zin
Ziriya;zir
Zigula;ziw
Zizilivakan;ziz
Kaimbulawa;zka
Koibal;zkb
Kadu (Myanmar);zkd
Goguryeo;zkg
Khorezmian Turkic;zkh
Kott;zko
São Paulo Kaingáng;zkp
Zakhring;zkr
Khitan;zkt
Kaurna;zku
Krevinian;zkv
Khazar;zkz
Manda (Australia);zma
Zimba;zmb
Margany;zmc
Maridan;zmd
Mfinu;zmf
Marti Ke;zmg
Makolkol;zmh
Negeri Sembilan Malay;zmi
Maridjabin;zmj
Mandandanyi;zmk
Madngele;zml
Marimanindji;zmm
Mbangwe;zmn
Molo;zmo
Mbuun;zmp
Mituku;zmq
Maranungku;zmr
Mbesa;zms
Maringarr;zmt
Muruwari;zmu
Mbariman-Gudhinma;zmv
Mbo (Congo);zmw
Bomitaba;zmx
Mariyedi;zmy
Mbandja;zmz
Zan Gula;zna
Zande;zne
Manangkari;znk
Mangas;zns
Copainalá Zoque;zoc
Chimalapa Zoque;zoh
Zou;zom
Asunción Mixtepec Zapotec;zoo
Tabasco Zoque;zoq
Rayón Zoque;zor
Francisco León Zoque;zos
Lachiguiri Zapotec;zpa
Yautepec Zapotec;zpb
Choapan Zapotec;zpc
Southeastern Ixtlán Zapotec;zpd
Petapa Zapotec;zpe
San Pedro Quiatoni Zapotec;zpf
Guevea de Humboldt Zapotec;zpg
Totomachapan Zapotec;zph
Santa María Quiegolani Zapotec;zpi
Quiavicuzas Zapotec;zpj
Tlacolulita Zapotec;zpk
Lachixío Zapotec;zpl
Mixtepec Zapotec;zpm
Santa Inés Yatzechi Zapotec;zpn
Amatlán Zapotec;zpo
El Alto Zapotec;zpp
Zoogocho Zapotec;zpq
Santiago Xanica Zapotec;zpr
Coatlán Zapotec;zps
San Vicente Coatlán Zapotec;zpt
Yalálag Zapotec;zpu
Chichicapan Zapotec;zpv
Zaniza Zapotec;zpw
San Baltazar Loxicha Zapotec;zpx
Mazaltepec Zapotec;zpy
Texmelucan Zapotec;zpz
Gaya;zra
Zirenkel;zrn
Záparo;zro
Mairasi;zrs
Southern Rincon Zapotec;zsr
Elotepec Zapotec;zte
Xanaguía Zapotec;ztg
Lapaguía-Guivini Zapotec;ztl
San Agustín Mixtepec Zapotec;ztm
Santa Catarina Albarradas Zapotec;ztn
Loxicha Zapotec;ztp
Quioquitani-Quierí Zapotec;ztq
Tilquiapan Zapotec;zts
Tejalapan Zapotec;ztt
San Pablo Güilá Zapotec;ztu
Zaachila Zapotec;ztx
Yatee Zapotec;zty
Zeem;zua
Tokano;zuh
Kumzari;zum
Zuni;zun
Zumaya;zuy
Zay;zwa
Zyphe;zyp
Zazaki;zza
Zuojiang Zhuang;zzj

