Sierra de Juárez Zapotec;zaa
San Juan Guelavía Zapotec;zab
Ocotlán Zapotec;zac
Cajonos Zapotec;zad
Yareni Zapotec;zae
Ayoquesco Zapotec;zaf
Zaghawa;zag
Zangwal;zah
Isthmus Zapotec;zai
Zaramo;zaj
Zanaki;zak
Zauzou;zal
Central Mahuatlán Zapoteco;zam
Ozolotepec Zapotec;zao
Zapotec;zap
Aloápam Zapotec;zaq
Rincón Zapotec;zar
Santo Domingo Albarradas Zapotec;zas
Tabaa Zapotec;zat
Zangskari;zau
Yatzachi Zapotec;zav
Mitla Zapotec;zaw
Xadani Zapotec;zax
Zayse-Zergulla;zay
Zari;zaz
Batui;zbt
Coatecas Altas Zapotec;zca
Ngazidja Comorian;zdj
Zealandic;zea
Zenag;zeg
Zenaga;zen
Kinga;zga
Moroccan Amazigh;zgh
Magori;zgr
Zhire;zhi
Nong Zhuang;zhn
Zhoa;zhw
Zia;zia
Zimakani;zik
Zialo;zil
Mesme;zim
Zinza;zin
Ziriya;zir
Zigula;ziw
Zizilivakan;ziz
Kaimbulawa;zka
Koibal;zkb
Kadu (Myanmar);zkd
Goguryeo;zkg
Khorezmian Turkic;zkh
Kott;zko
São Paulo Kaingáng;zkp
Zakhring;zkr
Khitan;zkt
Kaurna;zku
Krevinian;zkv
Khazar;zkz
Manda (Australia);zma
Zimba;zmb
Margany;zmc
Maridan;zmd
Mfinu;zmf
Marti Ke;zmg
Makolkol;zmh
Negeri Sembilan Malay;zmi
Maridjabin;zmj
Mandandanyi;zmk
Madngele;zml
Marimanindji;zmm
Mbangwe;zmn
Molo;zmo
Mbuun;zmp
Mituku;zmq
Maranungku;zmr
Mbesa;zms
Maringarr;zmt
Muruwari;zmu
Mbariman-Gudhinma;zmv
Mbo (Congo);zmw
Bomitaba;zmx
Mariyedi;zmy
Mbandja;zmz
Zan Gula;zna
Zande;zne
Manangkari;znk
Mangas;zns
Copainalá Zoque;zoc
Chimalapa Zoque;zoh
Zou;zom
Asunción Mixtepec Zapotec;zoo
Tabasco Zoque;zoq
Rayón Zoque;zor
Francisco León Zoque;zos
Lachiguiri Zapotec;zpa
Yautepec Zapotec;zpb
Choapan Zapotec;zpc
Southeastern Ixtlán Zapotec;zpd
Petapa Zapotec;zpe
San Pedro Quiatoni Zapotec;zpf
Guevea de Humboldt Zapotec;zpg
Totomachapan Zapotec;zph
Santa María Quiegolani Zapotec;zpi
Quiavicuzas Zapotec;zpj
Tlacolulita Zapotec;zpk
Lachixío Zapotec;zpl
Mixtepec Zapotec;zpm
Santa Inés Yatzechi Zapotec;zpn
Amatlán Zapotec;zpo
El Alto Zapotec;zpp
Zoogocho Zapotec;zpq
Santiago Xanica Zapotec;zpr
Coatlán Zapotec;zps
San Vicente Coatlán Zapotec;zpt
Yalálag Zapotec;zpu
Chichicapan Zapotec;zpv
Zaniza Zapotec;zpw
San Baltazar Loxicha Zapotec;zpx
Mazaltepec Zapotec;zpy
Texmelucan Zapotec;zpz
Gaya;zra
Zirenkel;zrn
Záparo;zro
Mairasi;zrs
Southern Rincon Zapotec;zsr
Elotepec Zapotec;zte
Xanaguía Zapotec;ztg
Lapaguía-Guivini Zapotec;ztl
San Agustín Mixtepec Zapotec;ztm
Santa Catarina Albarradas Zapotec;ztn
Loxicha Zapotec;ztp
Quioquitani-Quierí Zapotec;ztq
Tilquiapan Zapotec;zts
Tejalapan Zapotec;ztt
San Pablo Güilá Zapotec;ztu
Zaachila Zapotec;ztx
Yatee Zapotec;zty
Zeem;zua
Tokano;zuh
Kumzari;zum
Zuni;zun
Zumaya;zuy
Zay;zwa
Zyphe;zyp
Zazaki;zza
Zuojiang Zhuang;zzj
