name;abr
Διεθνείς όροι;uni
Διαγλωσσικοί όροι;mul
Νέα ελληνικά;el
Μεσαιωνικά ελληνικά;gkm
Αρχαία ελληνικά;grc
Μυκηναϊκή διάλεκτος;gmy
Πρωτοελληνική;grk-pro
Αραβικά;ar
Αγγλικά;en
Ισπανικά;es
Γαλλικά;fr
Ρωσικά;ru
Κινεζικά;zh
Αφαρικά;aa
Ghotuo;aaa
Αμπχαζικά;ab
Αντιγκεϊκά;ady
Αφρικάανς;af
Αμχαρικά;am
Αγγλοσαξονικά;ang
Αραγονικά;an
Αραμαϊκά;arc
Αιγυπτιακά αραβικά;arz
Αστουριανά;ast
Αϊμάρα;ay
Αζεριανά;az
Μπασκίρ;ba
Βαυαρικά;bar
Σαμογιτιανά;bar-smg
Φιλιππινέζικα της κεντρικής μπικόλ;bcl
Μπέμπα;bem
Βουλγαρικά;bg
Μπισλάμα;bi
Μπαμπάρα;bm
Μπενγκάλι;bn
Θιβετιανά;bo
Βρετονικά;br
Βοσνιακά;bs
Καταλανικά;ca
Σεμπουάνο;ceb
Τσαμόρο;ch
Ανατολική μαρί;chm
Τσερόκι;chr
Τσεγιέν;chy
Κουρδικά σοράνι;ckb
Κορσικανικά;co
Κριμαϊκά ταταρικά;crh
Τσεχικά;cs
Κασουβικά;csb
Τσουβασικά;cv
Ουαλικά;cy
Δανικά;da
Γερμανικά;de
Ζαζάκι;diq
Κάτω σορβικά;dsb
Μέση ολλανδική;dum
Ντιβέχι;dv
Έουε;ee
Αρχαία αιγυπτιακά;egy
Ελαμικά;elx
Μέση αγγλική;enm
Εσπεράντο;eo
Εσθονικά;et
Ετρουσκικά;ett
Βασκικά;eu
Εξτρεμαδουρικά;ext
Περσικά;fa
Φινλανδικά;fi
Φίτζι;fj
Φεροϊκά;fo
Μέση γαλλική;frm
Παλαιά γαλλικά;fro
Φριουλανικά;fur
Δυτικά φριζικά;fy
Ιρλανδικά γαελικά;ga
Γκαλό;gal
Κινεζικά γκαν;gan
Σκοτικά γαελικά;gd
Γαλικιανά;gl
Γκουαρανί;gn
Γοτθικά;got
