name;abr
ǃKung;khi-kun
ǃXóõ;nmn
ǀXam;xam
ǁAni;hnh
ǁGana;gnk
ǁXegwi;xeg
ǂHoan;huc
ǂKxʼauǁʼein;aue
Aari;aiw
Aasax;aas
Abaga;abg
Abai Sungai;abf
Abanyom;abm
Abar;mij
Abau;aau
Abaza;abq
Abé;aba
Abenaki;abe
Abenlen Ayta;abp
Abewa;aum
Abidji;abi
Abinomn;bsa
Abipon;axb
Abishira;ash
Abkhaz;ab
Abom;aob
Abon;abo
Abron;abr
Abu' Arapesh;aah
Abu;ado
Abua;abn
Abui;abz
Abun;kgr
Abung;abl
Abure;abu
Abureni;mgj
Acadian French;fra-aca
Acatepec Me'phaa;tpx
Acehnese;ace
Achagua;aca
Achang;acn
Aché;guq
Ache;yif
Acheron;acz
Achi;acr
Acholi;ach
Achuar;acu
Achumawi;acv
Acroá;acs
Adabe;adb
Adai;xad
Adamawa Fulfulde;fub
Adamorobe Sign Language;ads
Adang;adn
Adangbe;adq
Adangme;ada
Adap;adp
Adasen;tiu
Adele;ade
Adhola;adh
Adi;adi
Adioukrou;adj
Adiwasi Garasia;gas
Adivasi Oriya;ort
Adja;ajg
Adnyamathanha;adt
Adonara;adr
Aduge;adu
Adyghe;ady
Adzera;adz
Aeka;aez
Aekyom;awi
Aequian;xae
Aer;aeq
Afade;aal
Afar;aa
Afghan Sign Language;afg
Afitti;aft
Afra;ulf
Afrihili;afh
Afrikaans;af
Afro-Seminole Creole;afs
Agarabi;agd
Agariya;agi
Agatu;agc
Agavotaguerra;avo
Aghem;agq
Aghu Tharnggalu;ggr
Aghu;ahh
Aghul;agx
Aghwan;xag
Agi;aif
Agob;kit
Agoi;ibm
Aguacateco;agu
Aguano;aga
Aguaruna;agr
Aguna;aug
Agusan Manobo;msm
Agutaynen;agn
Agwagwune;yay
Àhàn;ahn
Ahanta;aha
Aheu;thm
Ahirani;ahr
A-Hmao;hmd
Ahom;aho
Ahtna;aht
Ahwai;nfd
Ai-Cham;aih
Aighon;aix
Aikanã;tba
Aiklep;mwg
Aimaq;aiq
Aimele;ail
Aimol;aim
Ainbai;aic
Ainu;ain
Aiome;aki
Airoran;air
Aiton;aio
Aiwoo;nfl
Aja;aja
Ajawa;ajw
Ajië;aji
Ajyíninka Apurucayali;cpc
Ak;akq
Aka;soh
Aka-Bea;abj
Aka-Bo;akm
Aka-Cari;aci
Aka-Jeru;akj
Aka-Kede;akx
Aka-Kol;aky
Aka-Kora;ack
Akan;ak
Akar-Bale;acl
Akaselem;aks
Akawaio;ake
Ake;aik
Akebu;keu
Akei;tsr
Akeu;aeu
Akha;ahk
Akhvakh;akv
Akkadian;akk
Akkala Sami;sia
Aklanon;akl
Akolet;akt
Akoose;bss
Akoye;miw
Akpa;akf
Akpes;ibe
Akrukay;afi
Akuku;ayk
Akum;aku
Akuntsu;aqz
Akurio;ako
Akuwagel;bey
Akwa;akw
Alaba;alw
Alabama;akz
Alabat Island Agta;dul
Alacatlatzala Mixtec;mim
Alago;ala
Alagwa;wbj
Alak;alk
Alamblak;amp
Alangan;alj
Alanic;xln
Alapmunte;apv
Alas-Kluet Batak;btz
Alawa;alh
Albanian Sign Language;sqk
Albanian;sq
Alcozauca Mixtec;xta
Alege;alf
Alekano;gah
Alemannic German;gsw
Aleut;ale
Algerian Arabic;arq
Algerian Saharan Arabic;aao
Algerian Sign Language;asp
Algonquin;alq
Ali;aiy
Alladian;ald
Allar;all
Alngith;aid
Alo Phola;ypo
Aloápam Zapotec;zaq
Alor;aol
Al-Sayyid Bedouin Sign Language;syy
Alsea;aes
Alu Kurumba;xua
Alu;mte
Alugu;aub
Alumu-Tesu;aab
Alune;alp
Aluo;yna
Alur;alz
Alutiiq;ems
Alutor;alr
Alviri-Vidari;avd
Alyawarr;aly
Ama;amm
Amahai;amq
Amahuaca;amc
Amaimon;ali
Amal;aad
Amanab;amn
Amanayé;ama
Amara;aie
Amarakaeri;amr
Amarasi;aaz
Amatlán Zapotec;zpo
Ambai;amk
Ambakich;aew
Ambala Ayta;abc
Ambelau;amv
Ambele;ael
Amblong;alm
Ambo;amb
Ambonese Malay;abs
Ambrak;aag
Ambul;apo
Ambulas;abt
Amdang;amj
Amdo Tibetan;adx
Amele;aey
American Sign Language;ase
Amganad Ifugao;ifa
Amharic;am
Ami;amy
Amis;ami
Ammonite;sem-amm
Amo;amo
Amol;alx
Amoltepec Mixtec;mbz
Ampanang;apg
Ampari Dogon;aqd
Amri Karbi;ajz
Amto;amt
Amundava;adw
Amurdag;amg
Amuzgo;amu
Ana Tinga Dogon;dti
Anaang;anw
Anakalangu;akg
Anal;anm
Anam;pda
Anambé;aan
Anamgura;imi
Anasi;bpo
Áncá;acb
Ancient Greek;grc
Ancient Ligurian;xlg
Ancient Macedonian;xmk
Ancient North Arabian;xna
Ancient Zapotec;xzp
Andai;afd
Andalusian Arabic;xaa
Andaman Creole Hindi;hca
Andaqui;ana
Andarum;aod
Andegerebinha;adg
Andh;anr
Andi;ani
Andio;bzb
Andoa;anb
Andoque;ano
Andra-Hus;anx
Aneityum;aty
Anem;anz
Aneme Wake;aby
Anfillo;myo
Angaataha;agm
Angal Enen;aoe
Angal Heneng;akh
Angal;age
Angami;njm
Angas;anc
Angguruk Yali;yli
Angika;anp
Angkola Batak;akb
Angloromani;rme
Angolar;aoa
Angor;agg
Angoram;aog
Angosturas Tunebo;tnd
Ani Phowa;ypn
Anii;blo
Animere;anf
Anindilyakwa;aoi
Anjam;boj
Ankave;aak
Anmatyerre;amx
Annobonese;fab
Anong;nun
Anor;anj
Anserma;ans
Ansus;and
Antakarinya;ant
Antigua and Barbuda Creole English;aig
Antillean Creole;gcf
Anu;anl
Anuak;anu
Anufo;cko
Anuki;aui
Anus;auq
Anuta;aud
Anyin Morofo;mtb
Anyin;any
Ao;njo
Aoheng;pni
Aore;aor
Ap Ma;kbx
Apalachee;xap
Apalaí;apy
Apali;ena
Apasco-Apoala Mixtec;mip
Apatani;apt
Apiaká;api
Apinayé;apn
Apma;app
Aproumu Aizi;ahp
A-Pucikwar;apq
Apurinã;apu
Aputai;apx
Aquitanian;xaq
Arabana;ard
Arabela;arl
Arabic;ar
Aragonese;an
Araki;akr
Arakwal;rkw
Aralle-Tabulahan;atq
Aramaic;arc
Aramanik;aam
Arammba;stk
Aranadan;aaf
Aranama-Tamique;xrt
Arandai;jbj
Araona;aro
Arapaho;arp
Arapaso;arj
Arara-Karo;arr
Arawak;arw
Araweté;awt
Arawum;awm
Arbëreshë Albanian;aae
Arbore;arv
Archi;aqc
Ardhamagadhi Prakrit;pka
Are;mwc
'Are'are;alu
Areba;aea
Arem;aem
Argentine Sign Language;aed
Argobba;agj
Arguni;agf
Arhâ;aqr
Arhuaco;arh
Arhö;aok
Ari;aac
Aribwatsa;laz
Aribwaung;ylu
Arifama-Miniafia;aai
Arigidi;aqg
Arikapú;ark
Arikara;ari
Arikem;ait
Arin;xrn
Aringa;luc
Arma;aoh
Armazic;xrm
Armenian Sign Language;aen
Armenian;hy
Aromanian;rup
Arop-Lokep;apr
Arop-Sissano;aps
Arosi;aia
Arta;atz
Arua;aru
Aruá;arx
Aruamu;msy
Aruek;aur
Aruop;lsr
Arutani;atx
Arvanitika Albanian;aat
As;asz
Asaro'o;mtv
Asas;asd
Asháninka;cni
Ashe;ahs
Ashéninka Pajonal;cjo
Ashéninka Perené;prq
Ashkun;ask
Asho Chin;csh
Ashtiani;atn
Asi;bno
Asilulu;asl
Askopan;eiv
Asoa;asv
Assamese;as
Assan;xss
Assangori;sjg
Assiniboine;asb
Assyrian Neo-Aramaic;aii
Asturian;ast
Asu;asa
Asue Awyu;psa
Asumboa;aua
Asunción Mixtepec Zapotec;zoo
Asuri;asr
Ata Manobo;atd
Ata;atm
Atakapa;aqp
Atampaya;amz
Atatláhuca Mixtec;mib
Atayal;tay
Atemble;ate
Ateso;teo
Athpare;aph
Ati;atk
Atikamekw;atj
Atohwaim;aqm
A'tong;aot
Atong;ato
Atorada;aox
Atsahuaca;atc
Atsam;cch
Atsugewi;atw
Attapady Kurumba;pkr
Attié;ati
Atzingo Matlatzinca;ocu
Au;avt
Augila;auj
'Auhelawa;kud
Aukan;djk
Aulua;aul
Aurá;aux
Aushi;auh
Aushiri;avs
Auslan;asf
Austral;aut
Australian Aboriginal Sign Language;asw
Australian Manda;zma
Austrian Sign Language;asq
Austronesian Mari;hob
Austronesian Mor;mhz
Auwe;smf
Auyana;auy
Auye;auu
Auyokawa;auo
Awa;awb
Awabakal;awk
Avá-Canoeiro;avv
Awa-Cuaiquer;kwi
Awad Bing;bcu
Awadhi;awa
Awak;awo
Avar;av
