name;abr
Abkhasisk;ab
Afrikaans;af
Ainu;?
Albansk;sq
Alemannisk;als
Amharisk;am
Arabisk;ar
Aragonesisk;an
Arameisk;arc
Armensk;hy
Aserbajdsjansk;az
Asturiansk;ast
Bambara;bm
Baskisk;eu
Bengali;bn
Bosnisk;bs
Bretonsk;br
Bulgarsk;bg
Cebuano;ceb
Centralnahuatl;nhn
Cherokee;chr
Dansk;da
Dhivehi;dv
Dimili;diq
Engelsk;en
Esperanto;eo
Estisk;et
Fijiansk;fj
Finsk;fi
Frankisk;?
Frankoprovensalsk;frp
Fransk;fr
Frisisk;fy
Friulisk;fur
Færøysk;fo
Fønikisk;?
Galisisk;gl
Gammelarmensk;?
Gammelengelsk;ang
Gammelgresk;?
Gammelkirkeslavisk;?
Gammelsaksisk;?
Gammelsvensk;?
Gassisk;mg
Georgisk;ka
Germanske språk;?
Gotisk;?
Gresk;el
Grønlandsk;kl
Guaraní;gn
Gælisk;gd
Haitisk kreolsk;ht
Hebraisk;he
Hindi;hi
Hviterussisk;be
Ido;io
Indonesisk;id
Interlingua;ia
Irsk;ga
Islandsk;is
Italiensk;it
Japansk;ja
Javanesisk;jv
Jiddisch;yi
Joruba;yo
Jødespansk;lad
Kannada;kn
Kantonesisk;zh-yue
Kasakhisk;kk
Kasjmiri;ks
Kasjubisk;csb
Katalansk;ca
Khmer;km
Kinesisk;zh
Klassisk nahuatl;nci
Koreansk;ko
Kornisk;kw
Korsikansk;co
Kroatisk;hr
Kurdisk;ku
Kölsch;ksh
Laotisk;lo
Latin;la
Latvisk;lv
Lavsorbisk;dsb
Ligurisk;lij
Limburgisk;li
Lingala;ln
Litauisk;lt
Lokano;ilo
Lulesamisk‎;smj
Luxembourgisk;lb
Makedonsk;mk
Malayalam;ml
Malayisk;ms
Maltesisk;mt
Mandarin;?
Maori;mi
Min nan;zh-min-nan
Moldovsk;mo
Napolitansk-kalabresisk;NAP
Naurisk;na
Nederlandsk;nl
Nedertysk;nds
Nordsamisk;se
Norsk;no
Novial;nov
Oksitansk;oc
Ossetisk;os
Pampangan;pam
Papiamento;pap
Pashto;ps
Pennsylvaniatysk;pdc
Persisk;fa
Piomentesisk;pms
Polsk;pl
Portugisisk;pt
Quechua;qu
Retoromansk;rm
Rumensk;ro
Russisk;ru
Samoansk;sm
Samogitisk;bat-smg
Sanskrit;sa
Serbisk;sr
Serbokroatisk;sh
Sesotho;st
Siciliansk;scn
Skoltesamisk;sms
Skotsk;sco
Skotsk-gælisk;gd
Slovakisk;sk
Slovensk;sl
Slovio;?
Somali;so
Spansk;es
Sundanesisk;su
Svensk;sv
Swahili;sw
Swati;ss
Sørsamisk;sma
Tadsjikisk;tg
Tagalog;tl
Tamilsk;ta
Telugu;te
Tetum;tet
Thai;th
Tibetansk;bo
Tsjekkisk;cs
Tyrkisk;tr
Tysk;de
Ukrainsk;uk
Ungarsk;hu
Urdu;ur
Usbekisk;uz
Vietnamesisk;vi
Volapyk;vo
Walisisk;cy
Wolof;wo
Zeeuws;zea
Zulu;zu
